"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcdescriptionversion","dcdisposal","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifierisbn","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasformat","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationispartof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrelationuri","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsource","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 61"
"","","Ajuntament de Barcelona","","","1991","","1991","1991","","","","","","","Digitalitzat per Artyplan per encàrrec del SEDAC","","","","application/pdf","347 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/110850","cat","Ajuntament de Barcelona","","","","","","","Reproducció digital del document en suport original","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | http://creativecommons.org/licenses/by/4.0/deed.en | http://creativecommons.org/licenses/by/4.0/deed.es","Barcelona: Ajuntament de Barcelona","Organització i organigrames | Organization and flowcharts | Organización y organigramas","Sector públic","monografies | documents digitalitzats","","Estructura i funcions del l'administració municipal: febrer 1991 (vol. II)","","text","info:eu-repo/semantics/book",""
"","","Direcció d'Immigració","","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","","","2006","2006","","","Editat posteriorment amb el títol: Guia d'acollida de butxaca de Barcelona","","","","","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","16 p.","application/pdf","GUIARECPEN_LC_CAT-XIN","","","","","","http://hdl.handle.net/11703/91448","cat | zho","Ajuntament de Barcelona","http://hdl.handle.net/11703/91445 | http://hdl.handle.net/11703/91446 | http://hdl.handle.net/11703/91447","","","http://hdl.handle.net/11703/90557","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Immigrants | Emigració i immigració | Immigrants | Emigration and immigration | Emigrantes | Emigración e inmigración","Societat i benestar","monografies","","Guia de recursos : Les Corts [versió en català i xinès]","","text","info:eu-repo/semantics/book",""
"","","Manenti, Andrea | Museu d'Història de la Ciutat (Barcelona)","Cucurella, Montserrat","Diagonal, Avinguda (Barcelona) | Diagonal, Boulevard (Barcelona) | Diagonal, Avenida (Barcelona)","","","2011","2010","","","Forma part de la col·lecció: Guies d'Història Urbana del MUHBA; 3","","","","","","","Drets revisats. No s'ha parlat amb tots els responsables del document, per tant s'ha establert Tots els dret reservats.","application/pdf","2 p.","application/pdf","13012","","","entitats públiques empresarials","","","http://hdl.handle.net/11703/91088","cat","Museu d'Història de Barcelona","","","","","","","","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual.","De l'edició: Museu d'Història de Barcelona | Dels textos: els seus autors | De les fotografies: els seus autors","","","Urbanisme | Història | City planning | History | Urbanismo | Historia","Urbanisme i infraestructures | Cultura i oci","monografies","","Diagonal: BCN: guia d'història urbana","","text","info:eu-repo/semantics/book",""
"","","Agència de Salut Pública de Barcelona | Artazcoz Lazcano, Lucía | Cortès, Imma | Borrell Thió, Carme | Pasarín Rúa, Maria Isabel","","Barcelona | Barcelona | Barcelona","","","2003","2003-03","","","Forma part de la col·lecció: Conèixer Barcelona","","","","","","","","application/pdf","129 p.","application/pdf","3809","","","","","","http://hdl.handle.net/11703/90344","cat","Ajuntament de Barcelona. Sector de Serveis Personals","","","","","","","","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual.","Ajuntament de Barcelona | Agència de Salut Pública de Barcelona","","","Indicadors de salut | Salut pública | Health status indicators | Public health | Indicadores de salud | Salud pública","Salut","monografies","","Diferències i desigualtats de gènere en salut","","text","info:eu-repo/semantics/book",""
"","","Institut Barcelona Esports | Institut Municipal de Persones amb Discapacitat (Barcelona)","","Barcelona | Barcelona | Barcelona","","","2009","2009","","","","","","","","","","","application/pdf","3 p.","application/pdf","3002","","","organismes autònoms","","","http://hdl.handle.net/11703/90151","cat","","","","","","","","","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","","","","","Esports per a discapacitats | Sports for people with disabilities | Minusválidos-Deportes","Esport | Societat i benestar","monografies","Programa Per un Esport Sense Barreres 2009 (Barcelona)","Organització del Servei d'Assessorament Pedagògic per a la inclusió esportiva dels usuaris i usuàries amb discapacitat a les instal·lacions esportives municipals de Barcelona","","text","info:eu-repo/semantics/book",""
"","","Direcció d'Immigració","","Barcelona | Barcelona | Barcelona","","","2013","2013","","","","","","","","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","5 p.","application/pdf","18634","","","","","","http://hdl.handle.net/11703/91242","cat | eng","Ajuntament de Barcelona","http://hdl.handle.net/11703/91241 | http://hdl.handle.net/11703/91243 | http://hdl.handle.net/11703/91244 | http://hdl.handle.net/11703/91245","","","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Servei d'Atenció als Immigrants Estrangers i Refugiats (Barcelona) | Immigrants | Servei d'Atenció als Immigrants Estrangers i Refugiats (Barcelona) | Immigrants | Servei d'Atenció als Immigrants Estrangers i Refugiats (Barcelona) | Emigrantes","Societat i benestar","monografies","","Nou SAIER Servei d'Atenció a Immigrants, Emigrants i Refugiats: ens adaptem als canvis i a les necessitats de la ciutadania oferint dos nous serveis [versió en català i anglès]","A new SAIER Care Service for Migrants and Refugees (SAIER): we are adapting to the changes and needs of citizens by offering two new services [versió en català i anglès]","text","info:eu-repo/semantics/book",""
"","","Districte 6. Gràcia","","Barcelona. Districte 6. Gràcia | Barcelona. District 6. Gràcia | Barcelona. Distrito 6. Gràcia","","","2014","2014","","","","","","","","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","2 p.","application/pdf","18384","","","districtes","","","http://hdl.handle.net/11703/90142","cat","Ajuntament de Gràcia | Punt d'informació juvenil de Gràcia","","","","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Comerç al detall | Districte 6. Gràcia | Retail trade | Districte 6. Gràcia | Comercio al detalle | Districte 6. Gràcia","Comerç","monografies","","Mapa del comerç jove de Gràcia","","text","info:eu-repo/semantics/book",""
"","","Transports Metropolitans de Barcelona | Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","","2014-03-10","2014-03-10","","","","","","","","","","","application/pdf","15 p.","application/pdf","17902","","","","","","http://hdl.handle.net/11703/90041","cat","","","","","","","","","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","","","","","Transport públic | Autobusos | Local transit | Buses | Transporte público | Autobuses","Transport","monografies","","Nova Xarxa Bus: presentació autobusos híbrids i avanç fase 2014","","text","info:eu-repo/semantics/book",""
"","","Direcció de Democràcia Activa i Descentralització | Gerència de Drets de Ciutadania, Participació i Transparència","","Barcelona | Barcelona | Barcelona","","","2019","2019","","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/114013 | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/114018","","","","","","","","application/pdf","26 p.","application/pdf","","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/114788","eng","Ajuntament de Barcelona","http://hdl.handle.net/11703/114013 | http://hdl.handle.net/11703/114018","","","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Participació ciutadana | Participación ciudadana | Citizen participation","Societat i benestar","monografies","","Practical guides for citizen participation in Barcelona : participatory bodies","","text","info:eu-repo/semantics/book",""
"","","Banqué, Neus | Direcció de Comerç i Consum | Institut Municipal d'Educació (Barcelona)","Bonil, Josep | Calafell, Genina | Soler, Joana | Molins, Maria","Barcelona | Barcelona | Barcelona","","","2007","2007","","","Programa didàctic","","","","","","","","application/pdf","76 p.","application/pdf","PROGCOMES2009-2010-PROP","","","organismes autònoms","","","http://hdl.handle.net/11703/91474","cat","Ajuntament de Barcelona. Comerç i Consum | Institut d'Educació","http://hdl.handle.net/11703/91473","","","","","","","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","","","","","Comerç | Commerce | Comercio","Comerç | Educació","monografies | material didàctic","","Proposta didàctica per treballar al comerç de Barcelona: cicle inicial, cicle mitjà, cicle superior d'educació primària i primer cicle d'ESO: programa didàctic","","text","info:eu-repo/semantics/book",""
