"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcdescriptionversion","dcdisposal","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifierisbn","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasformat","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationispartof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrelationuri","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsource","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 61"
"","","Gerència de Drets Socials | Torrens, Lluís | Segura Bonet, Marta | Muns Terrats, Lluís","","Barcelona | Barcelona | Barcelona","","","2018","2019","","","","","","","","","","","application/pdf","18 p.","application/pdf","","","Muns, Ll.; Segura, M. y Torrens, Ll. (2019) ‘Aspectos clave del diseño de una moneda complementaria liderada por la Administración Pública’ International Journal of Community  Currency Research 23 (Winter) 30-47 <www.ijccr.net> ISSN 1325-9547. http://dx.doi.org/10.15133/j.ijccr.2019.004","","","","http://hdl.handle.net/11703/114966","spa","","","","","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Moneda | Moneda | Money | Administració local | Administración local | Local government","Societat i benestar","articles","","Aspectos clave del diseño de una moneda complementaria liderada por la administració pública","","text","info:eu-repo/semantics/article",""
"","","Consell Tributari Municipal (Barcelona) | Font Llovet, Tomàs","","Barcelona | Barcelona | Barcelona","","","2019-03-26","2019","","","Discurs del president del Consell Tributari en la Conferència de 30 anys del Consell Tributari de Barcelona de 26-03-2019 | Podeu consultar la monografia 30 anys del Consell Tributari de Barcelona 1988 - 2018 [versió en català i castellà] a: http://hdl.handle.net/11703/113497","","","","","","","","application/pdf","13 p.","application/pdf","","","","consells","","","http://hdl.handle.net/11703/114029","cat","","http://hdl.handle.net/11703/113497","","","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/licenses/by/4.0/deed.ca","","Consell Tributari Municipal (Barcelona) | Consell Tributari Municipal (Barcelona) | Consell Tributari Municipal (Barcelona) | Arbitratge i laude | Arbitraje | Arbitration and award | Impostos locals | Impuestos locales | Local taxation","Hisenda","conferències i ponències","","30 anys del Consell Tributari de Barcelona","","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Gerència de Recursos | Direcció de Serveis Jurídics | Solé Benito, Albert","","","","","2018","2018-03-07","","","Ponència presentada per Albert Solé Benito amb motiu de la ""Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona"",  celebrada el dia 07-03-2018","","","","","","","","application/pdf","23 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/111358","cat","","","","","","","","","","","","","","Llei 9/2017. Contractes del sector públic","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Recursos administratius | Contractes administratius | Administrative remedies | Public contracts | Recursos administrativos | Contratos administrativos","Legislació i justícia | Sector públic","conferències i ponències","","El recurs especial en matèria de contractació : novetats de la Llei 9/2017","Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona (2018 : Barcelona)","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Gerència de Recursos | Intervenció general | Direcció de Coordinació Econòmica (Intervenció General) | Torres Morales, Carme","","","","","2018-03-07","2018-03-07","","","Ponència presentada per Carme Torres amb motiu de la ""Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona"", celebrada el dia 07-03-2018","","","","","","","","application/pdf","14 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/111507","cat","","","","","","","","","","","","","","Llei 9/2017. Contractes del sector públic","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Contractes administratius | Adjudicació de contractes | Public contracts | Letting of contracts | Contratos administrativos | Adjudicación administrativa","Legislació i justícia | Sector públic","conferències i ponències","","Les modificacions contractuals i les pròrrogues en la nova LCSP","Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona (2018 : Barcelona)","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Gerència de Recursos | Direcció de Serveis Jurídics | Gilabert Busquets, Núria","","Barcelona | Barcelona | Barcelona","","","2018","2018-03-07","","","Ponència presentada per Núria Gilabert Busquets amb motiu de la ""Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona"",  celebrada el dia 07-03-2018","","","","","","","","application/pdf","19 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/111591","cat","","","","","","","","","","","","","","Llei 9/2017. Contractes del sector públic","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Contractes administratius | Public contracts | Contratos administrativos | Serveis públics | Public utilities | Servicios públicos","Legislació i justícia | Sector públic","conferències i ponències","","Tipus de contracte. Novetats en relació amb la gestió dels serveis públics i referència especial al contracte de serveis a les persones","Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona (2018 : Barcelona)","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Gerència de Presidència i Economia | Direcció d'Empreses, Entitats Municipals i Recursos | Pascual Oliva, Angel","","Barcelona | Barcelona | Barcelona","","","2018","2018-03-07","","","Ponència presentada per Angel Pascual Oliva amb motiu de la ""Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona"",  celebrada el dia 07-03-2018","","","","","","","","application/pdf","4 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/111360","cat","","","","","","","","","","","","","","Llei 9/2017. Contractes del sector públic","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Contractes administratius | Adjudicació de contractes | Public contracts | Letting of contracts | Contratos administrativos | Adjudicación administrativa","Legislació i justícia | Sector públic","conferències i ponències","","Les clàusules socials i mediambientals. Condicions laborals i subrogació. Llei 9 /2017 i Decret de contractació sostenible","Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona (2018 : Barcelona)","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Servei de Documentació i Accés al Coneixement | Ràfales Caelles, Marta | Batlló Colominas, Roser | Hermosilla Pinto, Noelia | Plaza Mateo, Sara","","Barcelona | Barcelona | Barcelona","","","2017-10","2017-12","","","","","","","","","","","application/pdf","17 p.","application/pdf","","","Ràfales Caelles, Marta; Batlló Colominas, Roser; Hermosilla Pinto, Noelia; Plaza Mateo, Sara. L'accés obert a les publicacions del sector públic : l'experiència de l'Ajuntament de Barcelona. A: ‘Ítem: revista de biblioteconomia i documentació’, Barcelona: Col·legi Oficial de Bibliotecaris-Documentalistes de Catalunya, 2017, núm. 63, p. 103-119. ISSN 0214-0349","","","","http://hdl.handle.net/11703/109151","cat","","","","","","","","","","","","","","https://www.raco.cat/index.php/Item/article/view/337005/427875","","","","CC-BY","info:eu-repo/semantics/openAccess","","Col·legi Oficial de Bibliotecaris-Documentalistes de Catalunya","http://creativecommons.org/licenses/by/4.0/deed.ca","","Repositori Obert de Coneixement de l’Ajuntament de Barcelona (BCNROC) | Accés obert | Dipòsits institucionals | Documents electrònics | Recuperació de la informació | Repositori Obert de Coneixement de l’Ajuntament de Barcelona (BCNROC) | Open access publishing | Institutional repositories | Electronic records | Metadata | Information retrieval | Repositori Obert de Coneixement de l’Ajuntament de Barcelona (BCNROC) | Acceso libre | Depósitos institucionales | Documentos electrónicos | Metadatos | Recuperación de la información","Sector públic","articles","","L'accés obert a les publicacions del sector públic : l'experiència de l'Ajuntament de Barcelona","","text","info:eu-repo/semantics/article | info:eu-repo/semantics/other",""
"","","Gerència d'Ecologia Urbana | Direcció de Model Urbà | Salvadó, Ton","","Barcelona | Barcelona | Barcelona","","","2019-01-23","2019-01","","","Ponència presentada per Ton Salvadó amb motiu de la jornada ""Avaluació de Polítiques i Serveis Municipals"", celebrada el dia 23-01-2019","","","","","","","","application/pdf","57 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/114948","cat","","","","","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Zones de vianants | Zonas peatonales | Pedestrian zones | Avaluació | Evaluación | Evaluation","Societat i benestar | Urbanisme i infraestructures","conferències i ponències","","Programa Superilles","","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Direcció de Serveis Jurídics | Solé Benito, Albert","","","","","2016-11","2016-12-01","","","Ponència d'Albert Solé , director de Serveis Jurídics de l'Ajuntament de Barcelona, amb motiu de les Jornades ""La remunicipalització, reptes i oportunitats"", celebrades a Barcelona el dia 01-12-2016","","","","","","","","application/pdf","7 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/100151","cat","","","","","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Serveis municipals | Municipalització | Escoles bressol | Punts d'Informació i Atenció a les Dones (PIADs) | Municipal services | Corporatization | Kindergarten | Punts d'Informació i Atenció a les Dones (PIADs) | Servicios municipales | Municipalización | Guarderías | Punts d'Informació i Atenció a les Dones (PIADs)","Sector públic","conferències i ponències","","La Reinternalització de serveis bàsics","Jornades ""La remunicipalització, reptes i oportunitats"" (1eres : 2016 : Barcelona)","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Consell de les Dones de Barcelona","","Barcelona | Barcelona | Barcelona","1999","","1999-01","1999-01","","","Presentació al Plenari de l'Ajuntament de Barcelona de gener de 1999","","","","","","","","application/pdf","36 p.","application/pdf","","","","consells","","","http://hdl.handle.net/11703/105107","cat","","","","","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Dones | Participació ciutadana | Espais públics | Women | Citizen participation | Public spaces | Mujeres | Participación ciudadana | Espacios públicos","Societat i benestar","conferències i ponències","","Propostes globals","Congrés de les Dones de Barcelona (1r : 1999 : Barcelona)","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Servei de Documentació i Accés al Coneixement | Ràfales Caelles, Marta","","Barcelona | Barcelona | Barcelona","","","2018-05","2018-05-22","","","Ponència de la Sra. Marta Ràfales, Cap del Servei de Documentació i Accés al Coneixement (SEDAC), a la Gerència d'Ecologia Urbana de l'Ajuntament de Barcelona el 22-05-2018","","","","","","","","application/pdf","13 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/109232","cat","","","","","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Servei de Documentació i Accés al Coneixement | Repositori Obert de Coneixement de l’Ajuntament de Barcelona (BCNROC) | Accés obert | Dipòsits institucionals | Transparència política | Documents públics | Drets d'autor | Servei de Documentació i Accés al Coneixement | Repositori Obert de Coneixement de l’Ajuntament de Barcelona (BCNROC) | Open access publishing | Institutional repositories | Transparency in government | Public records | Copyright | Servei de Documentació i Accés al Coneixement | Repositori Obert de Coneixement de l’Ajuntament de Barcelona (BCNROC) | Acceso libre | Depósitos institucionales | Transparencia política | Documentos públicos | Derechos de autor","Sector públic | Cultura i oci","conferències i ponències","","BCNROC : un repositori d'Accés Obert per contribuir a la participació i a la transparència municipal","","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Sáiz Antón, Maria Petra","","Barcelona | Barcelona | Barcelona","","","2016-11","2016-12-01","","","Ponència de Maria Petra Sáiz, interventora de l'Ajuntament de l'Hospitalet de Llobregat i presidenta del CSITAL de Catalunya amb motiu de les Jornades ""La remunicipalització, reptes i oportunitats"", celebrades a Barcelona el dia 01-12-2016","","","","","","","","application/pdf","30 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/100150","cat","","","","","","","","","","","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Maria Petra Sáiz Antón","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","","Privatització | Municipalització | Serveis públics | Desenvolupament sostenible | Privatization | Corporatization | Public utilities | Sustainable development | Privatización | Municipalización | Servicios públicos | Desarrollo sostenible","Economia | Sector públic","conferències i ponències","","Aspectes econòmics de la remunicipalització: impacte en l’estabilitat pressupostària, la sostenibilitat financera i el control intern","Jornades ""La remunicipalització, reptes i oportunitats"" (1eres : 2016 : Barcelona)","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Servei de Documentació i Accés al Coneixement | Museu d'Història de la Ciutat (Barcelona) | Batlló Colominas, Roser | Irigoyen Briones, Jaime","","Barcelona | Barcelona | Barcelona","","","2019-10","2019-10-11","","","Ponència de la Sra. Roser Batlló, responsable del repositori institucional BCNROC i del Sr. Jaime Irigoyen, responsable de la biblioteca del  Museu d'Història de Barcelona el 11-10-2019 | Ponencia de la Sra. Roser Batlló, responsable del repositorio institucional BCNROC i del Sr. Jaime Irigoyen, responsable de la biblioteca del  Museu d'Història de Barcelona el 11-10-2019","","","","","","","","application/pdf","20 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/115680","spa","","","","","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Repositori Obert de Coneixement de l’Ajuntament de Barcelona (BCNROC) | Repositori Obert de Coneixement de l’Ajuntament de Barcelona (BCNROC) | Repositori Obert de Coneixement de l’Ajuntament de Barcelona (BCNROC) | Patrimoni bibliogràfic i documental | Bibliographic and documentary heritage | Patrimonio bibliográfico y documental | Drets d'autor | Copyright | Derechos de autor | Dades obertes | Open data | Datos abiertos","Cultura i oci | Sector públic","conferències i ponències","","Colección Habana-Barcelona : una experiencia de interoperabilidad y cooperación en materia de patrimonio digital","","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Consell de les Dones de Barcelona | Associació Ca la dona | Porta Abad, Carme | Peñaranda, Chus | Cruells, Dolors | Garcia, Dolors | Rodríguez Lázaro, Manola | Otero-Vidal, Mercè | Bofill, Mireia | Cervera Rodón, Montserrat | Moreno Saénz, Neus | Casals Pérez, Núria | Pascual, Rosa","","Barcelona | Barcelona | Barcelona","1999","","1998-12-21","1998-12-21","","","Ponència presentada per l'Associació Ca la Dona al I Congrés de Dones de Barcelona de 1999","","","","","","","","application/pdf","31 p.","application/pdf","","","","consells | associacions","","","http://hdl.handle.net/11703/105104","cat","","","","","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Dones | Participació ciutadana | Women | Citizen participation | Mujeres | Participación ciudadana","Societat i benestar","conferències i ponències","","Transformem la ciutat donant valor a la participació de les dones","Congrés de les Dones de Barcelona (1r : 1999 : Barcelona)","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Agència de Salut Pública de Barcelona | López, Mª José | Puig Barrachina, Vanessa","","Barcelona | Barcelona | Barcelona","","","2019-01-23","2019-01","","","Ponència presentada per Mª José López i Vanessa Puig-Barrachina amb motiu de la jornada ""Avaluació de Polítiques i Serveis Municipals"", celebrada el dia 23-01-2019","","","","","","","","application/pdf","20 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/114949","cat","","","","","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Salut en el treball | Higiene industrial | Industrial hygiene | Barris | Barrios | Neighborhood | Inserció laboral | Inserción laboral | Occupational integration | Avaluació | Evaluación | Evaluation","Salut","conferències i ponències","","La importància de l'avaluació en salut pública i efectes en salut del programa treball als barris","","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Gerència de Recursos | Direcció de Serveis de Gestió Econòmica | Escalante Cruces, Antonio","","","","","2018-03","2018-03-07","","","Ponència presentada per Antonio Escalante Cruces amb motiu de la ""Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona"", celebrada el dia 07-03-2018","","","","","","","","application/pdf","25 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/111505","cat","","","","","","","","","","","","","","Llei 9/2017. Contractes del sector públic","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Contractes administratius | Adjudicació de contractes | Public contracts | Letting of contracts | Contratos administrativos | Adjudicación administrativa","Legislació i justícia | Sector públic","conferències i ponències","","Les Meses de Contractació. Classificació de les ofertes. Actuacions preparatòries a l'adjudicació. La formalització del contracte .","Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona (2018 : Barcelona)","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Àrea de Drets Socials","","Barcelona | Barcelona | Barcelona","","","2019-01-23","2019-01","","","Ponència presentada per Eladi Torres amb motiu de la jornada ""Avaluació de Polítiques i Serveis Municipals"", celebrada el dia 23-01-2019","","","","","","","","application/pdf","12 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/114953","cat","","","","","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Subvencions | Subvenciones públicas | Subsidies | Serveis socials | Servicios sociales | Human services | Avaluació | Evaluación | Evaluation","","","Programa l’Ajut d’Emergència Social 2015- (Barcelona)","Fons d’ajuts d’emergència social per a infants i menors de 16 anys","","text","info:eu-repo/semantics/other",""
"","","Gerència Municipal | Oficina Municipal de Dades | Boada Pla, Màrius","","Barcelona | Barcelona | Barcelona","","","2019-01-23","2019-01","","","Ponència presentada per Màrius Boada amb motiu de la jornada ""Avaluació de Polítiques i Serveis Municipals"", celebrada el dia 23-01-2019","","","","","","","","application/pdf","17 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/114956","cat","","","","","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Dades massives | Datos masivos | Big data | Estadístiques | Estadísticas | Statistics | Avaluació | Evaluación | Evaluation","Sector públic","","","Oficina Municipal de dades :  eines i recursos estratègics per a l'avaluació","","text","info:eu-repo/semantics/book",""
"","","Gerència de Drets Socials | Torrens, Lluís","","Barcelona | Barcelona | Barcelona","","","2019-01-23","2019-01","","","Ponència presentada per Lluís Torrens amb motiu de la jornada ""Avaluació de Polítiques i Serveis Municipals"", celebrada el dia 23-01-2019","","","","","","","","application/pdf","17 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/114957","cat","","","","","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Pobresa | Pobreza | Poverty | Política social | Política social | Social policy | Economia social | Economía social | Social economy | Integració social | Integración social | Social integration | Avaluació | Evaluación | Evaluation","Societat i benestar","conferències i ponències","Projecte B-Mincome 2017-2019 (Barcelona)","B-Mincome = Avaluació","","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Castro, José Esteban","","","","","2016-11","2016-12-01","","","Ponència del Dr. Esteban Castro amb motiu de les Jornades ""La remunicipalització, reptes i oportunitats"", celebrades a Barcelona el dia 01-12-2016","","","","","","","","application/pdf","25 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/100106","spa","","","","","","","","","","","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Jose Esteban Castro","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","","Privatització | Municipalització | Serveis públics | Privatization | Corporatization | Public utilities | Privatización | Municipalización | Servicios públicos","Economia | Sector públic","conferències i ponències","","La Nueva ""Gestión Pública"": límites y desafíos de un modelo después de 30 años. El papel de la remunicipalización en la política pública moderna","Jornades ""La remunicipalització, reptes i oportunitats"" (1eres : 2016 : Barcelona)","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Martínez Fernández, José Manuel","","Barcelona | Barcelona | Barcelona","","","2016-11","2016-12-01","","","Ponència del Sr. José Manuel Martínez Fernández amb motiu de les Jornades ""La remunicipalització, reptes i oportunitats"", celebrades a Barcelona el dia 01-12-2016","","","","","","","","application/pdf","48 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/100105","spa","","","","","","","","","","","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","José Manuel Martínez Fernández","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","","Privatització | Municipalització | Serveis públics | Privatization | Corporatization | Public utilities | Privatización | Municipalización | Servicios públicos","Economia | Sector públic","conferències i ponències","","La Remunicipalització, reptes i oportunitats: aspectos procedimentales, económicos y laborales de la ""remunicipalización"" de servicios públicos locales","Jornades ""La remunicipalització, reptes i oportunitats"" (1eres : 2016 : Barcelona)","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Gerència de Presidència i Economia | Direcció de Serveis de Coordinació de Contractació Administrativa | Blanco López, Francisco","","Barcelona | Barcelona | Barcelona","","","2018","2018-03-07","","","Ponència presentada per Francisco Blanco López amb motiu de la ""Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona"",  celebrada el dia 07-03-2018","","","","","","","","application/pdf","13 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/111590","cat","","","","","","","","","","","","","","Llei 9/2017. Contractes del sector públic","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Contractes administratius | Adjudicació de contractes | Public contracts | Letting of contracts | Contratos administrativos | Adjudicación administrativa","Legislació i justícia | Sector públic","conferències i ponències","","Criteris d'adjudicació","Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona (2018 : Barcelona)","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Gerència de Recursos | Direcció de Serveis Jurídics | Direcció de l’Àrea del Contenciós | Herrero lturriaga, Rafael","","","","","2018","2018-03-07","","","Ponència presentada per Rafael Herrero amb motiu de la ""Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona"", celebrada el dia 07-03-2018","","","","","","","","application/pdf","13 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/111510","cat","","","","","","","","","","","","","","Llei 9/2017. Contractes del sector públic","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Contractes administratius | Adjudicació de contractes | Procediment administratiu | Public contracts | Letting of contracts | Administrative procedure | Contratos administrativos | Adjudicación administrativa | Procedimiento administrativo","Legislació i justícia | Sector públic","conferències i ponències","","Procediments d'adjudicació dels contractes. Especial referència : procediment obert simplificat i sumari. El procediment negociat i l'associació, per la innovació","Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona (2018 : Barcelona)","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Consell de les Dones de Barcelona | Drac Màgic (Firma)","","Barcelona | Barcelona | Barcelona","1999","","1998-12-21","1998-12-21","","","Ponència presentada per Drac Màgic al I Congrés de Dones de Barcelona de 1999","","","","","","","","application/pdf","26 p.","application/pdf","","","","consells","","","http://hdl.handle.net/11703/105106","cat","","","","","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Dones | Mitjans de comunicació de massa | Women | Mass media | Mujeres | Medios de comunicación social","Cultural i oci","conferències i ponències","","Dones i ciutat en l'espai mediàtic","Congrés de les Dones de Barcelona (1r : 1999 : Barcelona)","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Gerència de Recursos | Direcció de Serveis Jurídics | Direcció de l'Àrea de Règim Jurídic | Mallo Gómez, Manuel","","","","","2018","2018-03-07","","","Ponència presentada per Manuel Mallo amb motiu de la ""Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona"", celebrada el dia 07-03-2018","","","","","","","","application/pdf","20 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/111354","cat","","","","","","","","","","","","","","Llei 9/2017. Contractes del sector públic","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Contractes administratius | Adjudicació de contractes | Public contracts | Letting of contracts | Contratos administrativos | Adjudicación administrativa","Legislació i justícia | Sector públic","conferències i ponències","","Àmbit subjectiu. Novetats en relació a l'aplicació de la Llei als ens instrumentals i la relació amb els mitjans propis","Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona (2018 : Barcelona)","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Gerència de Recursos Humans i Organització","","Barcelona | Barcelona | Barcelona","","","2016-11","2016-12-01","","","Ponència presentada pel regidor Eloi Badia Casas amb motiu de les Jornades ""La remunicipalització, reptes i oportunitats"", celebrades a Barcelona el dia 01-12-2016","","","","","","","","application/pdf","15 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/100146","cat","","","","","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Privatització | Municipalització | Serveis públics | Privatization | Corporatization | Public utilities | Privatización | Municipalización | Servicios públicos","Sector públic","conferències i ponències","","Línies estratègiques sobre la remunicipalització a Barcelona","Jornades ""La remunicipalització, reptes i oportunitats"" (1eres : 2016 : Barcelona)","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
