"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdateupdated","dcdatevalidinici","dcdescription","dcdescriptionLegislationChanges","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationispartof","dcrelationreplaces","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 37"
"Àrea de Drets Socials. Campos, Àngels. Sánchez, Marta. Català Galofré, Carmina. Gil, Laura. Martín, Susana. León, Jordi. Amadó, Núria. Pastó López, Teresa. Alemany Vidal, Rosa M.. Comellas, Maica","","Barcelona","","","2017-05","2017-05","","","És part del document Els processos tècnics dels Equips d’Atenció a la Infància i l’Adolescència (EAIA) : entrada i anàlisi d’informació [http://hdl.handle.net/11703/106733]","","","application/pdf","60 p.","","","","http://hdl.handle.net/11703/106736","cat","Ajuntament de Barcelona","","","","","http://hdl.handle.net/11703/106733","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equips d'Atenció a la Infància i l'Adolescència (Barcelona). Atenció a la infància i a l'adolescència. Intervenció social","Societat i benestar","documents tècnics","","Els processos tècnics dels Equips d’Atenció a la Infància i l’Adolescència (EAIA) : pla d’intervenció (pla de millora/acords COSE) i devolució a la família","Processos clau o operatius de la fase d'estudi","text",""
"Àrea de Drets Socials. Campos, Àngels. Sánchez, Marta. Català Galofré, Carmina. Gil, Laura. Martín, Susana. León, Jordi. Amadó, Núria. Pastó López, Teresa. Alemany Vidal, Rosa M.. Comellas, Maica","","Barcelona","","","2017-05","2017-05","","","És part del document Els processos tècnics dels Equips d’Atenció a la Infància i l’Adolescència (EAIA) : entrada i anàlisi d’informació [http://hdl.handle.net/11703/106733]","","","application/pdf","24 p.","","","","http://hdl.handle.net/11703/106735","cat","Ajuntament de Barcelona","","","","","http://hdl.handle.net/11703/106733","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equips d'Atenció a la Infància i l'Adolescència (Barcelona). Atenció a la infància i a l'adolescència. Avaluació","Societat i benestar","documents tècnics","","Els processos tècnics dels Equips d’Atenció a la Infància i l’Adolescència (EAIA)  : anàlisi, valoració i pronòstic","Processos clau o operatius de la fase d'estudi","text",""
"Direcció de Serveis de Feminismes i LGTBI","Àrea de Drets de Ciutadania, Participació i Transparència","","","","2016-11","2017","","","","","","application/pdf","128","","","Mandat 2015-","http://hdl.handle.net/11703/106232","eng","","","","","","","","Domini públic","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","","Sector públic","","","An analysis of the different realities, positions and requirements of the intersex / DSD population (differences o sex development) in Barcelona","","text",""
"Departament de Coordinació d'Obres a l'Espai Públic. Gerència Adjunta de Mobilitat i Infraestructures. Gerència d'Ecologia Urbana. Àrea d'Ecologia Urbana","","","","","2017-07","2017-07","","","","","","application/pdf","84","","","Mandat 2015-","http://hdl.handle.net/11703/106651","cat","","","","","","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","","Sector públic. Urbanisme i infraestructures","","","Catàleg d'actuacions d'estiu de l'any 2017","","text",""
"Gerència Adjunta de Mobilitat i Infraestructures. Gerència d'Ecologia Urbana. Àrea d'Ecologia Urbana","","","","","2016-12","2016-12","","","","","","application/pdf","63","","","","http://hdl.handle.net/11703/106650","cat","","","","","","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","","Transport","","","Anàlisi Sistemes Tarifaris Transport Públic_Promoció del Transport Públic (Desembre 2016)","","text",""
"León, Jordi. Amadó, Núria. Pastó López, Teresa. Alemany Vidal, Rosa M.. Comellas, Maica. Àrea de Drets Socials. Campos, Àngels. Sánchez, Marta. Català Galofré, Carmina. Gil, Laura. Martín, Susana","","Barcelona","","","2017-05","2017-05","","","","","","application/pdf","60 p.","","","","http://hdl.handle.net/11703/106732","cat","","","","","","","","CC-BY","openAccess","Ajuntament de  Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equips d'Atenció a la Infància i Adolescència (Barcelona). Atenció a la infància i a l'adolescència","Societat i benestar","","","Els processos tècnics dels Equips d’Atenció a la Infància i l’Adolescència (EAIA) : presentació, mapa general, processos estratègics i de suport","","text",""
"Àrea de Drets de Ciutadania, Participació i Transparència. Direcció de Serveis de Feminismes i LGTBI","Àrea de Drets de Ciutadania, Participació i Transparència","","","","2016-11","2017","","","","","","application/pdf","128","","","Mandat 2015-","http://hdl.handle.net/11703/106229","cat","","","","","","","","Domini públic","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","","Sector públic","","","Diagnòstic de les diferents realitats, posicionaments i demandes de la població intersexual / amb DSD a Barcelona","","text",""
"Ajuntament de Barcelona","","Barcelona","","Si","2015-02-26","2014-10","","2015-02-26","Aprovat per Decret de l'Alcaldia de 26-02-2015. Es base en  l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","application/pdf","75 p.","","","","http://hdl.handle.net/11703/101974","cat","Ajuntament de Barcelona","","","","http://hdl.handle.net/11703/86856","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Terrasses (Hoteleria). Establiments de concurrència pública","Legislació i justícia. Urbanisme i infraestructures","ordenances municipals. documents tècnics","","Ordenança de terrasses de Barcelona : manual operatiu","","text",""
"Gerència d'Ecologia Urbana. Gerència Adjunta de Mobilitat i Infraestructures. Direcció de Serveis de Mobilitat. Valls Fontava, Joan. Crespo Yáñez, Manuel","Rosselló Robert, Tomeu","Barcelona","","","2016-01-27","2016-01-27","","","","","","application/pdf","121 p.","","","","http://hdl.handle.net/11703/89677","cat","Ajuntament de Barcelona","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Bicicletes. Transport urbà. Vies ciclistes","Transport","documents tècnics","Pla de Mobilitat Urbana de Barcelona 2013-2018","Manual de disseny de carrils bici de Barcelona 2016","","text",""
"Direcció de Mobilitat. Departament de Senyalització. Gerència d'Ecologia Urbana. Gerència Adjunta de Mobilitat i Infraestructures. Plumed Gómez, Aurea. Navarro Molina, Diego. Feu Palomero, Natalia. Barquets Alfonso, Enric","","Barcelona","","","2015-12","2015-12","","","","","","application/pdf","488 p.","","","","http://hdl.handle.net/11703/96632","cat","Ajuntament de Barcelona. Gerència de Prevenció, Seguretat i Mobilitat","","","http://hdl.handle.net/11703/90406","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Rètols. Senyals i senyalització","Urbanisme i infraestructures","documents tècnics. manuals i guies","","Manual de senyalització urbana per a la ciutat de Barcelona 2015","","text",""
"Agència Local d'Energia de Barcelona. Àrea de Medi Ambient","","Barcelona","","","2016","2016","2017-08-01","","","","","application/pdf","7 documents","","","","http://hdl.handle.net/11703/97836","cat","Ajuntament de Barcelona","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Energia solar. Energia tèrmica solar","Energia. Medi ambient","documents tècnics","","Documentació de suport per a validació d'execució d'instal·lacions solars de Barcelona","Guia d'inspecció d'instal·lacions d'energia solar tèrmica","text",""
"Regidoria de Feminismes i LGTBI. Macaya-Andrés, Laura. Saliente Andrés, Anna","","Barcelona","","","2018-02","2018-02","","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/108611","","Annexo 1. Materiales del protocol en la sala. Annexo 2. Díptico para la persona agredida en casos graves","application/pdf","30 p.","","","","http://hdl.handle.net/11703/108612","cas","","http://hdl.handle.net/11703/108611","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Vida nocturna. Discoteques. Bars. Sales de concerts. Festivals de música. Assetjament sexual. Delictes sexuals","Cultura i oci. Societat i benestar","protocols","","Protocolo ""No callamos"" contra las agresiones y los acosos sexuales en espacios de ocio nocturno privado","","text",""
"Àrea de Drets Socials. Campos, Àngels. Sánchez, Marta. Català Galofré, Carmina. Gil, Laura. Martín, Susana. León, Jordi. Amadó, Núria. Pastó López, Teresa. Alemany Vidal, Rosa M.. Comellas, Maica","","Barcelona","","","2017-05","2017-05","","","És part del document Els processos tècnics dels Equips d’Atenció a la Infància i l’Adolescència (EAIA) : entrada i anàlisi d’informació [http://hdl.handle.net/11703/106733]","","","application/pdf","64 p.","","","","http://hdl.handle.net/11703/106734","cat","Ajuntament de Barcelona","","","","","http://hdl.handle.net/11703/106733","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equips d'Atenció a la Infància i l'Adolescència (Barcelona). Atenció a la infància i a l'adolescència. Diagnòstic","Societat i benestar","documents tècnics","","Els processos tècnics dels Equips d’Atenció a la Infància i l’Adolescència (EAIA) : primera entrevista i exploració diagnòstica","Processos clau o operatius de la fase d'estudi","text",""
"Àrea de Medi Ambient","","Barcelona","","","2009","2009","","","","","","application/pdf","47 p.","4040","","","http://hdl.handle.net/11703/90265","cat","Ajuntament de Barcelona. Medi Ambient","http://hdl.handle.net/11703/90266","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Obres públiques. Indicadors ambientals","Urbanisme i infraestructures. Medi ambient","documents tècnics","","Ambientalització de les obres a la ciutat de Barcelona: manual bàsic per a l'elaboració de la memòria ambiental associada als projectes d'obres de l'Ajuntament de Barcelona","","text",""
"Agència Local d'Energia de Barcelona. Àrea de Medi Ambient","","Barcelona","","","2017","2017-07","2017-08-01","","","","","application/pdf","3 documents","","","","http://hdl.handle.net/11703/97835","cat","Ajuntament de Barcelona","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Energia solar. Energia tèrmica solar","Energia. Medi ambient","documents tècnics","","Documentació de suport per a l'elaboració de projectes d'energia solar a Barcelona","Guió de contingut de projectes per al compliment de l'Ordenança Solar. Procediment de justificació per a l'exempció de plaques solars tèrmiques per a la producció d'ACS per substitució amb bomba de calor. Procediment de justificació per a l'exempció de plaques solars tèrmiques per a la producció d'ACS per substitució per connexió a xarxa de districte de calor i fred (DHC)","text",""
