"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisrequiredby","dcrelationisversionof","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 43"
"anual","","Institut Municipal d'Educació (Barcelona)","","Barcelona | Barcelona | Barcelona","2016","No","2015","2015","","","","","application/pdf","7 p.","application/pdf","","","","organismes autònoms","Mandat 2015-2019","http://hdl.handle.net/11703/110512","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Institut Municipal d'Educació (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals | Institut Municipal d'Educació (Barcelona) | Municipal budgets | Institut Municipal d'Educació (Barcelona) | Presupuestos municipales | Institut Municipal d'Educació (Barcelona)","Economia","pressupostos","Pressupost anual 2015 de l'Institut Municipal d'Educació : pròrroga","Pròrroga pressupostària per a l’exercici 2016 de l'Institut Municipal d'Educació","text","info:eu-repo/semantics/other",""
"anual","","Fundació Privada BCD per a la Promoció del Disseny Industrial","","Barcelona | Barcelona | Barcelona","2010","No","2009","2009","","","","","application/pdf","1 p.","application/pdf","","","","fundacions","Mandat 2007-2011","http://hdl.handle.net/11703/109597","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Privada BCD per a la Promoció del Disseny Industrial","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Fundació Privada BCD per a la Promoció del Disseny Industrial | Budget | Fundació Privada BCD per a la Promoció del Disseny Industrial | Presupuestos | Fundació Privada BCD per a la Promoció del Disseny Industrial","Economia","pressupostos | documents digitalitzats","Pressupost anual 2010 de la Fundació BCD","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Consorci per a la Defensa de la Conca del Besòs","","Barcelona | Barcelona | Barcelona","2017","No","2017-01-25","2017","","Aprovat per la Junta General del CDCRB de 25-01-2017 | Requereix les Bases d'execució del pressupost anual del 2017 del Consorci per a la Defensa de la Conca del Besòs [http://hdl.handle.net/11703/109563]","","","application/pdf","2 documents","application/pdf","","","","consorcis","Mandat 2015-2019","http://hdl.handle.net/11703/109562","cat","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/109563","CC-BY","info:eu-repo/semantics/openAccess","Consorci per a la Defensa de la Conca del Besòs","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Consorci per a la Defensa de la Conca del Besòs | Budget | Consorci per a la Defensa de la Conca del Besòs | Presupuestos | Consorci per a la Defensa de la Conca del Besòs","Economia","pressupostos | documents digitalitzats","Pressupost anual 2017 del Consorci per a la Defensa de la Conca del Besòs","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Fundació Carles Pi i Sunyer d'Estudis Autonòmics i Locals","","Barcelona | Barcelona | Barcelona","2013","No","2012","2012","","","","","application/pdf","1 p.","application/pdf","","","","fundacions","Mandat 2011-2015","http://hdl.handle.net/11703/109565","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Carles Pi i Sunyer d'Estudis Autonòmics i Locals","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals | Fundació Carles Pi i Sunyer d'Estudis Autonòmics i Locals | Fundació Carles Pi i Sunyer d'Estudis Autonòmics i Locals | Fundació Carles Pi i Sunyer d'Estudis Autonòmics i Locals","Economia","pressupostos | documents digitalitzats","Pressupost anual 2013 de la Fundació Carles Pi i Sunyer d'Estudis Autonòmics i Locals","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Parc de Recerca Biomèdica de Barcelona","","Barcelona | Barcelona | Barcelona","2015","No","2014","2014","","","","","application/pdf","4 p.","application/pdf","","","","consorcis","Mandat 2011-2015 | Mandat 2015-2019","http://hdl.handle.net/11703/107474","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Parc de Recerca Biomèdica de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci del Parc de Recerca Biomèdica de Barcelona | Pressupost | Consorci del Parc de Recerca Biomèdica de Barcelona | Budget | Consorci del Parc de Recerca Biomèdica de Barcelona | Presupuestos","Economia","pressupostos","Pressupost anual 2015 del Parc de Recerca Biomèdica de Barcelona","","text","info:eu-repo/semantics/other",""
"anual","","Fundació Privada Institut d'Economia de Barcelona","","Barcelona | Barcelona | Barcelona","2016","No","2015","2015","","","","","application/pdf","1 p.","application/pdf","","","","fundacions","Mandat 2015-2019","http://hdl.handle.net/11703/110061","spa","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Privada Institut d'Economia de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Fundació Privada Institut d'Economia de Barcelona | Budget | Fundació Privada Institut d'Economia de Barcelona | Presupuestos | Fundació Privada Institut d'Economia de Barcelona","Economia","pressupostos | documents digitalitzats","Presupuesto anual 2016 de la Fundació Privada Institut d'Economia de Barcelona","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2011","No","2010-12-17","2010-12-30","","Aprovat pel Plenari del Consell Municipal de 17-12-2010","","","","5 p.","","11753","","Butlletí Oficial de la Província de Barcelona (30-12-2010)","","Mandat 2011-2015 | Mandat 2007-2011","http://hdl.handle.net/11703/88918","cat","","","","","http://hdl.handle.net/11703/88929","","","http://hdl.handle.net/11703/88909","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Pressupostos municipals | Municipal budgets | Presupuestos municipales","Economia","pressupostos","Pressupost general 2011","","text","info:eu-repo/semantics/other",""
"anual","","Consorci de les Drassanes Reials i Museu Marítim de Barcelona","","Barcelona | Barcelona | Barcelona","2013","No","2014","2014","","Es basa en el Pressupost anual 2013 del Consorci de les Drassanes Reials i Museu Marítim de Barcelona [http://hdl.handle.net/11703/109544]","","","application/pdf","35 p.","application/pdf","","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/109545","cat","","","","http://hdl.handle.net/11703/109544","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci de les Drassanes Reials i Museu Marítim de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Consorci de les Drassanes Reials i Museu Marítim de Barcelona | Budget | Consorci de les Drassanes Reials i Museu Marítim de Barcelona | Presupuestos | Consorci de les Drassanes Reials i Museu Marítim de Barcelona","Economia","pressupostos | documents digitalitzats","Liquidació del pressupost anual del 2013 del Consorci de les Drassanes Reials i Museu Marítim de Barcelona","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Fundació Navegació Oceànica Barcelona","","Barcelona | Barcelona | Barcelona","2015","No","2014","2014","","","","Tancament del pressupost anual 2014","application/pdf","1 p.","application/pdf","","","","fundacions","Mandat 2011-2015 | Mandat 2015-2019","http://hdl.handle.net/11703/110258","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Navegació Oceànica Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Fundació Navegació Oceànica Barcelona | Budget | Fundació Navegació Oceànica Barcelona | Presupuestos | Fundació Navegació Oceànica Barcelona","Economia","pressupostos","Pressupost anual 2015 de la Fundació Navegació Oceànica Barcelona","Tancament de l'exercici 2014 de la Fundació Navegació Oceànica Barcelona","text","info:eu-repo/semantics/other",""
"Anual","","Institut d'Estudis Regionals i Metropolitans de Barcelona","","Barcelona | Barcelona | Barcelona","2017","No","2016","2016","","Requereix les Bases d'execució del pressupost 2017 [http://hdl.handle.net/11703/107535]","","","application/pdf","7 p.","application/pdf","","","","consorcis","Mandat 2015-2019","http://hdl.handle.net/11703/107532","cat","","","","","","","","","http://hdl.handle.net/11703/107535","CC-BY","info:eu-repo/semantics/openAccess","Institut d'Estudis Regionals i Metropolitans de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut d'Estudis Regionals i Metropolitans de Barcelona | Pressupost | Institut d'Estudis Regionals i Metropolitans de Barcelona | Budget | Institut d'Estudis Regionals i Metropolitans de Barcelona | Presupuestos","Economia","pressupostos","Pressupost anual 2017 del Consorci Institut d'Estudis Regionals i Metropolitans","","text","info:eu-repo/semantics/other",""
"anual","","Serveis Funeraris de Barcelona, S.A.","","Barcelona | Barcelona | Barcelona","2014","No","2013-11-26","2013","","Aprovat pel Consell d'Administració de la Societat de 26-11-2013","","","application/pdf","27 p.","application/pdf","","","","societats mercantils","Mandat 2011-2015","http://hdl.handle.net/11703/110494","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Serveis Funeraris de Barcelona, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Serveis Funeraris de Barcelona, S.A. | Budget | Serveis Funeraris de Barcelona, S.A. | Presupuestos | Serveis Funeraris de Barcelona, S.A.","Economia","pressupostos","Presupuesto anual 2014 de Serveis Funeraris de Barcelona, S.A. : propuesta","Propuesta de presupuesto 2014","text","info:eu-repo/semantics/other",""
"Anual","","Consorci Institut d'Infància i Món Urbà (Barcelona)","","Barcelona | Barcelona | Barcelona","2009","No","2010","2010","","Requereix l'Informe d'intervenció de la liquidació del pressupost de l'exercici 2009 del Consorci Institut d'Infància i Món Urbà (Barcelona) [http://hdl.handle.net/11703/110695]","","","application/pdf","14 p.","application/pdf","","","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/110694","cat","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/110695","CC-BY","info:eu-repo/semantics/openAccess","Consorci Institut d'Infància i Món Urbà (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Consorci Institut d'Infància i Món Urbà (Barcelona) | Budget | Consorci Institut d'Infància i Món Urbà (Barcelona) | Presupuestos | Consorci Institut d'Infància i Món Urbà (Barcelona)","Economia","pressupostos | documents digitalitzats","Liquidació del pressupost 2009 del Consorci Institut d'Infància i Món Urbà (Barcelona)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Consorci de Serveis Socials de Barcelona","","Barcelona | Barcelona | Barcelona","2014","No","2014-03-31","2014","","","","","application/pdf","6 p.","application/pdf","","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/107498","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci de Serveis Socials de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci de Serveis Socials de Barcelona | Pressupostos municipals | Consorci de Serveis Socials de Barcelona | Municipal budgets | Consorci de Serveis Socials de Barcelona | Presupuestos municipales","Economia","pressupostos","Liquidació del pressupost 2014 del Consorci de Serveis Socials de Barcelona","","text","info:eu-repo/semantics/other",""
"anual","","Fundació Factor Humà","","Barcelona | Barcelona | Barcelona","2012","No","2011-11-30","2011","","Aprovat pel Patronat de la Fundació el 30-11-2011","","","application/pdf","1 p.","application/pdf","","","","fundacions","Mandat 2011-2015","http://hdl.handle.net/11703/110065","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Factor Humà","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Fundació Factor Humà | Budget | Fundació Factor Humà | Presupuestos | Fundació Factor Humà","Economia","pressupostos","Pressupost anual 2012 de la Fundació Factor Humà","Pressupost d'ingressos i despeses corresponent a l'any 2012","text","info:eu-repo/semantics/other",""
"anual","","Fundació Factor Humà","","Barcelona | Barcelona | Barcelona","2013","No","2012-11-29","2012","","Aprovat pel Patronat de la Fundació el 29-11-2012","","","application/pdf","1 p.","application/pdf","","","","fundacions","Mandat 2011-2015","http://hdl.handle.net/11703/110066","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Factor Humà","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Fundació Factor Humà | Budget | Fundació Factor Humà | Presupuestos | Fundació Factor Humà","Economia","pressupostos","Pressupost anual 2013 de la Fundació Factor Humà","","text","info:eu-repo/semantics/other",""
"anual","","Agència Local d'Energia de Barcelona","","Barcelona | Barcelona | Barcelona","2016","No","2015-11-02","2015","","Aprovat per l'Assemblea General de l'Agència Local d'Energia de Barcelona el 02-11-2015 | És base per la Liquidació del pressupost 2016 de l'Agència Local d'Energia de Barcelona [http://hdl.handle.net/11703/110438]","","","application/pdf","70 p.","application/pdf","","NIF núm.: P-0800115-H","","consorcis","Mandat 2015-2019","http://hdl.handle.net/11703/110437","cat","","","","","http://hdl.handle.net/11703/110438","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Agència Local d'Energia de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals | Agència Local d'Energia de Barcelona | Municipal budgets | Agència Local d'Energia de Barcelona | Presupuestos municipales | Agència Local d'Energia de Barcelona","Economia","pressupostos | documents digitalitzats","Pressupost anual 2016 de l'Agència Local d'Energia de Barcelona","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Consorci de Salut i d'Atenció Social de Catalunya","","Barcelona | Barcelona | Barcelona","2015","No","2015-03","2015","","Aprovat per la Junta General Ordinària del Consorci de Salut i d'Atenció Social de Catalunya de març de 2015","","","application/pdf","9 p.","application/pdf","","","","","Mandat 2011-2015 | Mandat 2015-2019","http://hdl.handle.net/11703/110753","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci de Salut i d'Atenció Social de Catalunya","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Consorci de Salut i d'Atenció Social de Catalunya | Budget | Consorci de Salut i d'Atenció Social de Catalunya | Presupuestos | Consorci de Salut i d'Atenció Social de Catalunya","Economia","pressupostos","Pressupost anual 2015 del Consorci de Salut i d'Atenció Social de Catalunya","","text","info:eu-repo/semantics/other",""
"biennal","","Fundació Teatre Lliure - Teatre Públic de Barcelona","","Barcelona | Barcelona | Barcelona","2014 | 2015","No","2014-12-12","2014","","Aprovat pel Ple del Patronat de la Fundació de 12-12-2014","","","application/pdf","5 documents","application/pdf","","","","fundacions","Mandat 2011-2015 | Mandat 2015-2019","http://hdl.handle.net/11703/110211","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Teatre Lliure - Teatre Públic de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Fundació Teatre Lliure - Teatre Públic de Barcelona | Budget | Fundació Teatre Lliure - Teatre Públic de Barcelona | Presupuestos | Fundació Teatre Lliure - Teatre Públic de Barcelona","Economia","pressupostos | documents digitalitzats","Pressupost 2014-2015 de la Fundació Teatre Lliure - Teatre Públic de Barcelona","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Consorci d'Educació de Barcelona","","Barcelona | Barcelona | Barcelona","2014","No","2015","2015","","","","","application/pdf","25 p.","application/pdf","","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/107505","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci d'Educació de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci d'Educació de Barcelona | Pressupostos municipals | Consorci d'Educació de Barcelona | Municipal budgets | Consorci d'Educació de Barcelona | Presupuestos municipales","Economia | Educació","pressupostos","Liquidació del pressupost 2014 del Consorci d'Educació de Barcelona","","text","info:eu-repo/semantics/other",""
"anual","","Districte 10. Sant Martí","","Barcelona. Districte 10. Sant Martí | Barcelona. District 10. Sant Martí | Barcelona. Distrito 10. Sant Martí","2015","","2016-02","2016-02","","","","Pressupost d'ingressos | Pressupost de despeses | Expedients de despesa per direccions | Contractació","application/pdf","95 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/101960","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Districte de Sant Martí","http://creativecommons.org/licenses/by/4.0/deed.ca","","Economia","pressupostos","","Informe sobre l'execució del pressupost 2015 del Districte de Sant Martí:","text","info:eu-repo/semantics/other",""
"anual","","Fundació Centre d'Estudis Internacionals (CEI)","","Barcelona | Barcelona | Barcelona","2015","No","2014","2014","","","","","application/pdf","2 p.","application/pdf","","","","fundacions","Mandat 2011-2015 | Mandat 2015-2019","http://hdl.handle.net/11703/110044","spa","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Centre d'Estudis Internacionals (CEI)","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Fundació Centre d'Estudis Internacionals (CEI) | Budget | Fundació Centre d'Estudis Internacionals (CEI) | Presupuestos | Fundació Centre d'Estudis Internacionals (CEI)","Economia","pressupostos","Presupuesto anual 2015 de la Fundació Centre d'Estudis Internacionals (CEI)","","text","info:eu-repo/semantics/other",""
"Anual","","Consorci de Biblioteques de Barcelona","","Barcelona | Barcelona | Barcelona","2012","No","2010-10-07","2010-11-29","","Aprovació definitiva pel Consell General del Consorci de 07-10-2010","","","application/pdf","65 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (29-11-2010)","consorcis","Mandat 2007-2011 | Mandat 2011-2015","http://hdl.handle.net/11703/107442","cat","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci de Biblioteques de Barcelona | Pressupostos municipals | Consorci de Biblioteques de Barcelona | Municipal budgets | Consorci de Biblioteques de Barcelona | Presupuestos municipales","Economia | Cultura i oci","pressupostos","Pressupost anual 2011 del Consorci de Biblioteques de Barcelona","","text","info:eu-repo/semantics/other",""
"Anual","","Consorci del Museu d'Art Contemporani de Barcelona","","Barcelona | Barcelona | Barcelona","2016","No","2015","2016","","Aprovat pel Consell General del MACBA de 15-12-2015 | No s'han presentat al·legacions, per tant, estan definitivament aprovats | És base per la Liquidació del pressupost 2016 del Consorci del Museu d'Art Contemporani de Barcelona [http://hdl.handle.net/11703/110464]","","Liquidació del pressupost 2014 | Informe de la Gerència de RRHH | Informe d'intervenció del pressupost 2016","application/pdf","2 documents","application/pdf","","","","consorcis | consorcis","Mandat 2015-2019 | Mandat 2015-2019","http://hdl.handle.net/11703/100020","cat","","","","","http://hdl.handle.net/11703/110464","","","","","CC-BY | CC-BY","info:eu-repo/semantics/openAccess","Consorci del Museu d'Art Contemporani de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci del Museu d'Art Contemporani de Barcelona | Pressupostos municipals | Consorci del Museu d'Art Contemporani de Barcelona | Municipal budgets | Consorci del Museu d'Art Contemporani de Barcelona | Presupuestos municipales","Economia","pressupostos","Pressupost anual 2016 de MACBA","","text","info:eu-repo/semantics/other",""
"anual","","Barcelona-Catalunya Centre Logístic","","Barcelona | Barcelona | Barcelona","2010","No","2009","2009","","","","","application/pdf","1 p.","application/pdf","","","","associacions","Mandat 2007-2011","http://hdl.handle.net/11703/110187","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Barcelona-Catalunya Centre Logístic","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Barcelona-Catalunya Centre Logístic | Budget | Barcelona-Catalunya Centre Logístic | Presupuestos | Barcelona-Catalunya Centre Logístic","Economia","pressupostos","Pressupost anual 2010 de Barcelona-Catalunya Centre Logístic","","text","info:eu-repo/semantics/other",""
"Anual","","Fundació Museu Picasso de Barcelona","","Barcelona | Barcelona | Barcelona","2015","No","2014","2014","","","","Memòria de programes","application/pdf","24 p.","application/pdf","","","","fundacions","Mandat 2011-2015 | Mandat 2015-2019","http://hdl.handle.net/11703/110756","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Museu Picasso de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals | Fundació Museu Picasso de Barcelona | Municipal budgets | Fundació Museu Picasso de Barcelona | Presupuestos municipales | Fundació Museu Picasso de Barcelona","Economia","pressupostos | documents digitalitzats","Pressupost anual 2015 de la Fundació Museu Picasso de Barcelona","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Consorci del Campus Interuniversitari Diagonal-Besòs","","Barcelona | Barcelona | Barcelona","2018","Si","2017","2017","","","","","application/pdf","9 p.","application/pdf","","","","consorcis","Mandat 2015-2019","http://hdl.handle.net/11703/110736","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci del Campus Interuniversitari Diagonal-Besòs","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Consorci del Campus Interuniversitari Diagonal-Besòs | Budget | Consorci del Campus Interuniversitari Diagonal-Besòs | Presupuestos | Consorci del Campus Interuniversitari Diagonal-Besòs","Economia","pressupostos | documents digitalitzats","Pressupost anual 2018 del Consorci del Campus Interuniversitari Diagonal-Besòs","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Consorci del Besòs (Barcelona)","","Barcelona | Sant Adrià de Besòs (Catalunya) | Barcelona | Sant Adrià de Besòs (Catalonia) | Barcelona | Sant Adrià de Besòs (Cataluña)","2013","No","2013-01-28","2012","","Aprovació inicial per la Junta de Direcció de 30-10-2012 | Aprovació definitva pel Secretari Delegat del Consorci de 28-01-2013 | És base per la Liquidació del pressupost 2013 del Consorci del Besòs (Barcelona) [http://hdl.handle.net/11703/110271]","","","application/pdf","106 p.","application/pdf","","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/107422","cat","","","","","http://hdl.handle.net/11703/110271","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci del Besòs (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci del Besòs (Barcelona) | Pressupost | Consorci del Besòs (Barcelona) | Budget | Consorci del Besòs (Barcelona) | Presupuestos","Economia","pressupostos | documents digitalitzats","Pressupost anual 2013 del Consorci del Besòs","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Institut Europeu de la Mediterrània (Barcelona)","","Barcelona | Barcelona | Barcelona","2012","No","2012-03-27","2012","","Aprovat per la Comissió Delegada de 27-03-2012","","Annex. Objectius estratègics per al 2012","application/pdf","12 p.","application/pdf","","","","organismes autònoms","Mandat 2011-2015","http://hdl.handle.net/11703/107541","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Institut Europeu de la Mediterrània (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut Europeu de la Mediterrània (Barcelona) | Pressupost | Institut Europeu de la Mediterrània (Barcelona) | Budget | Institut Europeu de la Mediterrània (Barcelona) | Presupuestos","Economia","pressupostos | documents digitalitzats","Pressupost anual 2012 de l'Institut Europeu de la Mediterrània de Barcelona","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Federació de Municipis de Catalunya","","Barcelona | Barcelona | Barcelona","2014","No","2014-12-31","2014","","Es basa en el Pressupost anual 2014 de la Federació de Municipis de Catalunya [http://hdl.handle.net/11703/110227]","","","application/pdf","17 p.","application/pdf","","","","associacions","Mandat 2011-2015","http://hdl.handle.net/11703/110228","cat","","","","http://hdl.handle.net/11703/110227","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Federació de Municipis de Catalunya","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Federació de Municipis de Catalunya | Budget | Federació de Municipis de Catalunya | Presupuestos | Federació de Municipis de Catalunya","Economia","pressupostos","Liquidació del pressupost 2014 de la Federació de Municipis de Catalunya","","text","info:eu-repo/semantics/other",""
"anual","","Fundació Barcelona Mobile World Capital Foundation","","Barcelona | Barcelona | Barcelona","2017","No","2016","2016","","","","","application/vnd.ms-excel","2 fitxers","application/vnd.ms-excel","","","","fundacions","Mandat 2015-2019","http://hdl.handle.net/11703/110448","cat","","","","","","","","","","CC0","info:eu-repo/semantics/openAccess","","https://creativecommons.org/choose/zero/?lang=ca","Pressupost | Fundació Barcelona Mobile World Capital Foundation | Budget | Fundació Barcelona Mobile World Capital Foundation | Presupuestos | Fundació Barcelona Mobile World Capital Foundation","Economia","pressupostos","Pressupost anual 2017 de la Fundació Barcelona Mobile World Capital Foundation","","dataset","info:eu-repo/semantics/other",""
"anual","","Consorci del Museu d'Art Contemporani de Barcelona | Intervenció general","","Barcelona | Barcelona | Barcelona","2016","No","2017-02-28","2017","","Aprovat per resolució de la presidenta del Consorci de 28-02-2017 | Es basa en el Pressupost 2016 de MACBA [http://hdl.handle.net/11703/100020]","","Informe d'intervenció de la liquidació del pressupost de l'exercici 2016","application/pdf","44 p.","application/pdf","","","","consorcis","Mandat 2015-2019","http://hdl.handle.net/11703/110464","cat","","","","http://hdl.handle.net/11703/100020","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci del Museu d'Art Contemporani de Barcelona | Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Consorci del Museu d'Art Contemporani de Barcelona | Budget | Consorci del Museu d'Art Contemporani de Barcelona | Presupuestos | Consorci del Museu d'Art Contemporani de Barcelona","Economia","pressupostos | documents digitalitzats","Liquidació del pressupost 2016 del Consorci del Museu d'Art Contemporani de Barcelona","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Institut Municipal d'Urbanisme (Barcelona)","","Barcelona | Barcelona | Barcelona","2018","Si","2017-09","2017","","","","","application/pdf","33 p.","application/pdf","","","","organismes autònoms","Mandat 2015-2019","http://hdl.handle.net/11703/110711","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Institut Municipal d'Urbanisme (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals | Institut Municipal d'Urbanisme (Barcelona) | Municipal budgets | Institut Municipal d'Urbanisme (Barcelona) | Presupuestos municipales | Institut Municipal d'Urbanisme (Barcelona)","Economia","pressupostos | documents digitalitzats","Pressupost anual 2018 de l'Institut Municipal d'Urbanisme","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Barcelona Regional Agència de Desenvolupament Urbà, S.A.","","Barcelona | Barcelona | Barcelona","2017","No","2016","2016","","","","","application/vnd.ms-excel","2 fitxers","application/vnd.ms-excel","","","","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/110534","cat","","","","","","","","","","CC0","info:eu-repo/semantics/openAccess","","https://creativecommons.org/choose/zero/?lang=ca","Pressupost | Barcelona Regional Agència de Desenvolupament Urbà, S.A. | Budget | Barcelona Regional Agència de Desenvolupament Urbà, S.A. | Presupuestos | Barcelona Regional Agència de Desenvolupament Urbà, S.A.","Economia","pressupostos","Pressupost anual 2017 de Barcelona Regional Agència de Desenvolupament Urbà, S.A.","","dataset","info:eu-repo/semantics/other",""
