"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisrequiredby","dcrelationisversionof","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 43"
"anual","","Fundació Carles Pi i Sunyer d'Estudis Autonòmics i Locals","","Barcelona | Barcelona | Barcelona","2012","No","2012-02-29","2012","","Aprovat pel Patronat de la Fundació de 29-02-2012","","","application/pdf","2 documents","application/pdf","","","","fundacions","Mandat 2011-2015","http://hdl.handle.net/11703/109566","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Carles Pi i Sunyer d'Estudis Autonòmics i Locals","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals | Fundació Carles Pi i Sunyer d'Estudis Autonòmics i Locals | Fundació Carles Pi i Sunyer d'Estudis Autonòmics i Locals | Fundació Carles Pi i Sunyer d'Estudis Autonòmics i Locals","Economia","pressupostos | documents digitalitzats","Pressupost anual 2012 de la Fundació Carles Pi i Sunyer d'Estudis Autonòmics i Locals","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Direcció de Comptabilitat","","Barcelona | Barcelona | Barcelona","2008","","2008","2009","","","","","application/pdf","33 p.","application/pdf","18741","","","","Mandat 2007-2011","http://hdl.handle.net/11703/88932","cat","","","","http://hdl.handle.net/11703/88912 | http://hdl.handle.net/11703/88921","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals | Municipal budgets | Presupuestos municipales","Economia","pressupostos | documents digitalitzats","Liquidació del pressupost 2008","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU)","","Barcelona | Barcelona | Barcelona","2016","No","2017-03-08","2017","","","","","application/pdf","3 p.","application/pdf","","","","associacions","Mandat 2015-2019","http://hdl.handle.net/11703/110138","spa","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU)","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU) | Budget | Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU) | Presupuestos | Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU)","Economia","pressupostos | documents digitalitzats","Presupuesto anual 2016 del Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Fundació Privada de l'Hospital de la Santa Creu i Sant Pau","","Barcelona | Barcelona | Barcelona","2014","No","2013","2013","","","","","application/pdf","1 p.","application/pdf","","","","fundacions","Mandat 2011-2015","http://hdl.handle.net/11703/109581","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Privada de l'Hospital de la Santa Creu i Sant Pau","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Fundació Privada de l'Hospital de la Santa Creu i Sant Pau | Budget | Fundació Privada de l'Hospital de la Santa Creu i Sant Pau | Presupuestos | Fundació Privada de l'Hospital de la Santa Creu i Sant Pau","Economia","pressupostos","Pressupost anual 2014 de la Fundació Privada de l'Hospital de la Santa Creu i Sant Pau","","text","info:eu-repo/semantics/other",""
"biennal","","Gran Teatre del Liceu. Consorci","","Barcelona | Barcelona | Barcelona","2016 | 2017","No","2016-05-11","2016","","Aprovat per la Junta de Govern del Consorci del Gran Teatre del Liceu el 11-05-2016","","","application/pdf","2 documents","application/pdf","","","","consorcis","Mandat 2015-2019","http://hdl.handle.net/11703/110125","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Gran Teatre del Liceu. Consorci","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Gran Teatre del Liceu. Consorci | Budget | Gran Teatre del Liceu. Consorci | Presupuestos | Gran Teatre del Liceu. Consorci","Economia","pressupostos","Pressupost 2016-2017 del Consorci del Gran Teatre del Liceu","","text","info:eu-repo/semantics/other",""
"anual","","Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU)","","Barcelona | Barcelona | Barcelona","2013","No","2014-03-12","2014","","","","","application/pdf","2 documents","application/pdf","","","","associacions","Mandat 2011-2015","http://hdl.handle.net/11703/110140","spa","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU)","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU) | Budget | Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU) | Presupuestos | Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU)","Economia","pressupostos | documents digitalitzats","Presupuesto anual 2013 del Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Xarxa Formació Professional","","Barcelona | Barcelona | Barcelona","2016","No","2015","2015","","","","","application/pdf","1 p.","application/pdf","","","","associacions","Mandat 2015-2019","http://hdl.handle.net/11703/110217","eng","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Xarxa Formació Professional","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Xarxa Formació Professional | Budget | Xarxa Formació Professional | Presupuestos | Xarxa Formació Professional","Economia","pressupostos","Annual budget 2016 of the Xarxa Formació Professional","","text","info:eu-repo/semantics/other",""
"anual","","Asociación de Marcas Renombradas Españolas","","Barcelona | Barcelona | Barcelona","2015","No","2014","2014","","","","","application/pdf","1 p.","application/pdf","","","","associacions","Mandat 2011-2015 | Mandat 2015-2019","http://hdl.handle.net/11703/110224","spa","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Asociación de Marcas Renombradas Españolas","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Asociación de Marcas Renombradas Españolas | Budget | Asociación de Marcas Renombradas Españolas | Presupuestos | Asociación de Marcas Renombradas Españolas","Economia","pressupostos","Presupuesto 2015 de la Asociación de Marcas Renombradas Españolas","","text","info:eu-repo/semantics/other",""
"anual","","Barcelona-Catalunya Centre Logístic","","Barcelona | Barcelona | Barcelona","2013","No","2012-12-14","2012","","Aprovat per l'Assemblea General de l'Associació de 14-12-2012","","","application/pdf","2 documents","application/pdf","","","","associacions","Mandat 2011-2015","http://hdl.handle.net/11703/110190","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Barcelona-Catalunya Centre Logístic","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Barcelona-Catalunya Centre Logístic | Budget | Barcelona-Catalunya Centre Logístic | Presupuestos | Barcelona-Catalunya Centre Logístic","Economia","pressupostos | documents digitalitzats","Pressupost anual 2013 de Barcelona-Catalunya Centre Logístic","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Fundació Pisos de Lloguer","","Barcelona | Barcelona | Barcelona","2012","No","2011","2011","","","","","application/vnd.ms-excel","1 fitxer","application/vnd.ms-excel","","","","fundacions","Mandat 2011-2015","http://hdl.handle.net/11703/110070","cat","","","","","","","","","","CC0","info:eu-repo/semantics/openAccess","","https://creativecommons.org/choose/zero/?lang=ca","Pressupost | Fundació Pisos de Lloguer | Budget | Fundació Pisos de Lloguer | Presupuestos | Fundació Pisos de Lloguer","Economia","pressupostos","Pressupost anual 2012 de la Fundació Pisos de Lloguer","","dataset","info:eu-repo/semantics/other",""
