"Trimestre","Tipus ens","Nom ens","Procediment","Tipus de contracte","Nombre","Import"
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat","Subministraments",0.0,0.0
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat","Gestió Serveis Públics/Concessions",0.0,0.0
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat","Privats de l'Administració",0.0,0.0
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat","Administratius especials",0.0,0.0
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat abreujat","Obres",0.0,0.0
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat abreujat","Serveis",0.0,0.0
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat abreujat","Subministraments",0.0,0.0
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat abreujat","Gestió Serveis Públics/Concessions",0.0,0.0
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat abreujat","Privats de l'Administració",0.0,0.0
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat abreujat","Administratius especials",0.0,0.0
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Restringits","Obres",0.0,0.0
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Restringits","Serveis",0.0,0.0
