"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcdescriptionversion","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifierisbn","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisversionof","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 48"
"Anual","Oberta","Consell Municipal de Benestar Social (Barcelona)","","Barcelona | Barcelona | Barcelona","2009 | 2010","No","2011","2011","","","","","","application/pdf","","application/pdf","6776","","consells","","Mandat 2007-2011","http://hdl.handle.net/11703/87568","cat","Consell Municipal de Benestar Social (Barcelona)","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Consell Municipal de Benestar Social (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Municipal de Benestar Social (Barcelona) | Assistència social | Serveis socials | Assistència social | Participació ciutadana | Consell Municipal de Benestar Social (Barcelona) | Public welfare | Human services | Public welfare | Citizen participation | Consell Municipal de Benestar Social (Barcelona) | Bienestar social | Servicios sociales | Asistencia social | Participación ciudadana","Sector públic | Societat i benestar","informes altres","","Informe participatiu 2009-2010","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona Cicle de l'Aigua, S.A.","","Barcelona | Barcelona | Barcelona","2018","","2018-09-07","2018-09-08","","","","","","application/pdf","3 p.","application/pdf","","","societats mercantils","","","http://hdl.handle.net/11703/111064","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Barcelona Cicle de l'Aigua, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Dipòsits d'aigua | Aigua de pluja | Water tanks | Rain-water | Depósitos de agua | Agua de lluvia","Medi ambient | Urbanisme i infraestructures","informes altres","","Informe de pluja i dipòsits [versió resumida] : període del 7 de setembre al 8 de setembre de 2018","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Regidoria d'Usos del Temps | Districte 6. Gràcia | Institut Municipal d'Educació (Barcelona) | Fundació Jaume Bofill (Barcelona)","","Barcelona. Districte 6. Gràcia | Barcelona. Distrito 6. Gràcia | Barcelona. District 6. Gràcia | Camp d'en Grassot i Gràcia Nova (Barcelona : Barri) | Camp d'en Grassot i Gràcia Nova (Barcelona : Barrio) | Camp d'en Grassot i Gràcia Nova (Barcelona : Neighborhood)","2008","","2008","2008-11","","","","","","application/pdf","64 p.","application/pdf","4327","","districtes | organismes autònoms","","Mandat 2007-2011","http://hdl.handle.net/11703/111307","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Institut Municipal d'Educació (Barcelona) | Fundació Jaume Bofill (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Organització del temps | Conciliació de la vida personal i laboral | Activitats extraescolars | Time management | Work-life balance | Student activities | Organización del tiempo | Conciliación de la vida laboral y familiar | Actividades extraescolares","Educació | Societat i benestar","informes altres","Programa Temps de Barri (Barcelona)","Diagnosi del barri de Camp d'en Grassot i Gràcia Nova : Districte de Gràcia","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Consell de Ciutat de Barcelona | Consell d'Associacions de Barcelona","","Barcelona | Barcelona | Barcelona","","","2017-07","2017","Aprovat pel Grup de Treball Finançament el juliol de 2017","","","","","application/pdf","7 p.","application/pdf","","","consells","","","http://hdl.handle.net/11703/118018","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Consell de Ciutat de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Subvencions | Subsidies | Subvenciones públicas","Sector public","informes altres","","Informe subvencions : Grup Treball Finançament","","text","info:eu-repo/semantics/other",""
"","","Gerència de Drets Socials | Institut d'Estudis Regionals i Metropolitans de Barcelona | Porcel, Sergio | Navarro-Varas, Lara","","Barcelona | Barcelona | Barcelona","2016 | 2017","","2018","2018-12","","","","","","application/pdf","42 p.","application/pdf","","","","","","http://hdl.handle.net/11703/114965","cat","","","","","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Pobresa | Pobreza | Poverty | Infants | Niños | Children | Habitatge | Vivienda | Housing","Societat i benestar","informes altres","","Pobresa i infàncies desiguals a la ciutat de Barcelona 2016-2017","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report",""
"","","Consell Econòmic i Social de Barcelona | Bayarri, Pascual | Alarcón, Elena | Fernández, José A.","","Barcelona | Barcelona | Barcelona","2013","","2013","2013","Informe aprovat pel Consell Econòmic i Social de Barcelona el 2013 | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/117059","","","","","application/pdf","121 p.","application/pdf","","","consells","","","http://hdl.handle.net/11703/117061","cat","Consell Econòmic i Social de Barcelona","http://hdl.handle.net/11703/117059","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Consell Econòmic i Social de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Mercat de treball | Labor market | Mercado de trabajo | Ocupació | Employment (Economic theory) | Empleo | Indicadors econòmics | Economic indicators | Indicadores económicos | Indicadors socials | Social indicators | Indicadores sociales","Ocupació","informes altres","","El treball a Barcelona 2013","","text","info:eu-repo/semantics/report",""
"","","Agenda 21 BCN | Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","","2006","2006","","","","","","application/pdf","52 p.","application/pdf","BAB_10544","","","","","http://hdl.handle.net/11703/91277","cat","Ajuntament de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/licenses/by/4.0/deed.ca","Aigua | Recursos hidràulics | Water | Water resources development | Agua | Explotación de recursos hidráulicos","","informes altres","","L'aigua a Barcelona : la disponibilitat i l'aprofitament dels recursos hídrics: Informe","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Universitat de Vic | Pérez Quintana, Anna | Sabata, Anna | Illa Pérez, Patrícia | Gerència de Política Econòmica i Desenvolupament Local | Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2019","2019","","","","","","application/pdf","112 p.","application/pdf","","","","","","http://hdl.handle.net/11703/114023","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Empresàries | Empresarias | Businesswomen | Emprenedoria | Emprendedores | Entrepreneurship","Economia","informes altres | monografies","","Retrat de les dones emprenedores a Barcelona","","text","info:eu-repo/semantics/book | info:eu-repo/semantics/report",""
"","","Àrea de Drets de Ciutadania, Participació i Transparència | Oficina per la No Discriminació | Direcció de Serveis de Drets de Ciutadania i Diversitat | Gerència de Drets de Ciutadania, Participació i Transparència","","Barcelona | Barcelona | Barcelona","","","2017-10","2017-10","Podeu consultar la versió en català a: http://hdl.handle.net/11703/114516 | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/106466 | Podeu consultar la versió en francès a: http://hdl.handle.net/11703/114542","","","","","application/pdf","21 p","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/114541","eng","","http://hdl.handle.net/11703/114516 | http://hdl.handle.net/11703/106466 | http://hdl.handle.net/11703/114542","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","1 d'octubre, Referèndum de l', Catalunya, 2017 | 1 d'octubre, Referèndum de l', Catalunya, 2017 | 1 d'octubre, Referèndum de l', Catalunya, 2017 | Víctimes | Víctimas | Victims | Policia | Policía | Police | Agressivitat | Agresividad | Aggressiveness","Sector públic","informes altres","Programa Barcelona Ciutat de Drets 2016-2019","Help service for victims of police brutality on 1 October : final report","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Agència de Salut Pública de Barcelona | Consorci Sanitari de Barcelona | Universitat Pompeu Fabra | Johns Hopkins University (Baltimore, Estats Units d'Amèrica) | Marí-Dell'Olmo, Marc | Sheenan, M. | Villalbí, Joan Ramon","","Barcelona | Barcelona | Barcelona","","","2019","2019-11-13","","","","","","application/pdf","18 p.","application/pdf","","","","","","http://hdl.handle.net/11703/117631","eng","","","","","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Canvis climàtics | Gestió ambiental | Cambios climáticos | Climatic changes | Gestión del medio ambiente | Environmental management","Medi ambient","informes altres","","Planning for climate change Workshop : final report","","text","info:eu-repo/semantics/report",""
