"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcdescriptionversion","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifierisbn","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisversionof","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 48"
"","","Àrea de Drets de Ciutadania, Participació i Transparència | Comissionat de Participació | Decidim Barcelona | Gerència de Drets de Ciutadania, Participació i Transparència","","Barcelona | Barcelona | Barcelona","","","2016-10","2016-10","","","","","","application/pdf","24 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/99812","cat","","","","http://hdl.handle.net/11703/99393","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Participació ciutadana | Municipis | Citizen participation | Municipal corporations | Participación ciudadana | Municipios | Decidim.Barcelona (Plataforma informàtica) | Decidim.Barcelona (Plataforma informática) | Decidim.Barcelona (IT platform)","Societat i benestar | Sector públic","informes altres","","De què parlem quan parlem de regular la participació? : informe de les jornades","Procés de revisió de les Normes reguladores de participació ciutadana","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gabinet d'Estudis Socials (Barcelona) | Àrea d'Acció Social i Ciutadania","","Barcelona | Barcelona | Barcelona","","","2011","2011","A la portada: Barcelona pels Drets Humans","","","","","application/pdf","174 p.","application/pdf","9167","","","","","http://hdl.handle.net/11703/90242","cat","Ajuntament de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Observatori de Drets Humans de la ciutat de Barcelona | Observatori de Drets Humans de la ciutat de Barcelona | Observatori de Drets Humans de la ciutat de Barcelona","Societat i benestar","informes altres","","Primer informe de l'Observatori de drets humans de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència de Recursos Humans i Organització | Comissió Tècnica del Pla d'Igualtat","","Barcelona | Barcelona | Barcelona","","","2019-02-28","2019","","","","","","application/pdf","11 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/113621","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Igualtat retributiva | Igualtat entre els sexes | Pay equity | Gender equality | Igualdad salarial | Igualdad de género","Sector públic","informes altres","Pla d'Igualtat d'Oportunitats entre Homes i Dones de l'Ajuntament de Barcelona 2015-2019","Proposta de la Comissió Tècnica d'Igualtat de mesures per a reduir la bretxa salarial de gènere : II Pla d'Igualtat d'Oportunitats entre Homes i Dones 2015 - 2019 de l'Ajuntament de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Direcció de Serveis d'Economia Cooperativa, Social, Solidària i Consum | Departament de Programes de Temps i Economia de les Cures | Universitat de Vic. Càtedra Unesco Dones, desenvolupament i cultures | La Ciutat Invisible, S.C.C.L. | Ezquerra, Sandra | Mansilla, Elba","","Barcelona | Barcelona | Barcelona","2015 | 2016","","2018-05","2018-05","Forma part de la col·lecció: Estudis Temps i Cures","L’informe està elaborat a partir de l’anàlisi de fonts i documentació diversa sobre economia de les cures, així com entrevistes profunditat a persones receptores i proveïdores de cura, vinculades a espais comunitaris, equipament i projectes de titularitat municipal, i a treballadores —professionals o no— de l’àmbit familiar.","","","","application/pdf","148 p.","application/pdf","","","","","","http://hdl.handle.net/11703/113745","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Treball domèstic | Tareas domésticas | Housekeeping | Cura de malalts | Cuidados a los enfermos | Care of the sick | Cuidadors | Caregivers | Conciliació de la vida personal i laboral | Conciliación de la vida laboral y familiar | Work-life balance | Economia feminista | Economía feminista | Feminist economics","Societat i benestar","informes altres","","Economia de les cures i política  municipal: cap a una democratització  de la cura a la ciutat de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Institut de Cultura de Barcelona | Unesco | Ciudades y Gobiernos Locales Unidos","","Barcelona | Barcelona | Barcelona","","","2006-09","2006-09","Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/111603 | Podeu consultar la versió en francès a: http://hdl.handle.net/11703/111604","","","","","application/pdf","12 p.","application/pdf","6132","","entitats públiques empresarials","","","http://hdl.handle.net/11703/111602","spa","Ajuntament de Barcelona","http://hdl.handle.net/11703/111603 | http://hdl.handle.net/11703/111604","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política cultural | Cultural policy | Política cultural","Cultura i oci","monografies","Agenda 21 de la cultura","Políticas locales para la diversidad cultural : resumen ejecutivo","","text","info:eu-repo/semantics/book",""
"","","Institut Municipal de Mercats (Barcelona)","","Barcelona | Barcelona | Barcelona","","","2011-06","2011-06","","","","","","application/pdf","176 p.","application/pdf","","","organismes autònoms","","Mandat 2011-2015","http://hdl.handle.net/11703/99277","cat","","","","","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Mercats | Indicadors econòmics | Markets | Economic indicators | Mercados | Indicadores económicos","Comerç","informes altres","","Impacte econòmic directe de la xarxa de Mercats Municipals de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Institut Municipal de Persones amb Discapacitat (Barcelona) | Àrea de Drets Socials","","Barcelona | Barcelona | Barcelona","","","2018-11","2018-11","","","","","","application/pdf","22 p.","application/pdf","","","organismes autònoms","","Mandat 2015-2019","http://hdl.handle.net/11703/113591","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Discapacitats | People with disabilities | Personas con discapacidad","Salut | Societat i benestar","informes altres","","Persones amb reconeixement legal de discapacitat a la ciutat de Barcelona 2017","Informe persones amb reconeixement legal de discapacitat a la ciutat de Barcelona 2017","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona Activa, S.A.","Fundació Privada BioRegió de Catalunya","Barcelona | Barcelona | Barcelona","2013","","2013","2013","A la portada: Barcelona Treball","","","","","application/pdf","34 p.","application/pdf","17473","","societats mercantils","","","http://hdl.handle.net/11703/86799","cat","Barcelona Activa, S.A.","","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Ajuntament de Barcelona","","Biotecnologia | Farmacologia | Biotechnology | Pharmacology | Biotecnología | Farmacología","Ciència i tecnologia","informes altres","","Biotecnologia i biomedicina: informe sectorial 2013","Informe sectorial: biotecnologia i biomedicina","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Direcció de Serveis d'Acció Comunitària | Gerència de Drets de Ciutadania, Participació i Transparència | Alcántara Alcántara, Antonio","","Barcelona | Barcelona | Barcelona | Garrotxa (Catalunya) | Garrotxa (Catalonia) | Garrotxa (Cataluña) | Lleida (Catalunya) | Lleida (Catalonia) | Lleida (Cataluña) | Madrid | Madrid (Spain) | Madrid (España) | Màlaga (Andalusia) | Málaga (Spain) | Málaga","","","2019","2019-04","Sol·licitant de l’informe: Gerència de Drets de Ciutadania, Participació i Transparència. Direcció de Serveis d'Acció Comunitària | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/116977","","","","","application/pdf","38 p.","application/pdf","","","","","","http://hdl.handle.net/11703/116950","cat","","http://hdl.handle.net/11703/116977","","","","","","","","","","CC-BY-SA","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","https://creativecommons.org/licenses/by-sa/4.0/deed.ca","Serveis públics | Public utilities | Servicios públicos | Desenvolupament comunitari | Community development | Desarrollo comunitario | Estudi de casos | Case studies | Estudio de casos","Societat i benestar","informes altres","","Serveis públics motors de l'acció comunitària : estudi exploratori de quatre casos","","text","info:eu-repo/semantics/report",""
"","","Consell Econòmic i Social de Barcelona | Bayarri, Pascual | Alarcón, Elena | Fernández, José A.","","Barcelona | Barcelona | Barcelona","2012","","2013-04-08","2013","Informe aprovat per la Comissió Executiva del Consell Econòmic i Social de Barcelona de 08-04-2013 | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/117033","","","","","application/pdf","81 p.","application/pdf","","","consells","","","http://hdl.handle.net/11703/117034","cat","","http://hdl.handle.net/11703/117033","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Consell Econòmic i Social de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Mercat de treball | Labor market | Mercado de trabajo | Ocupació | Employment (Economic theory) | Empleo | Indicadors econòmics | Economic indicators | Indicadores económicos | Indicadors social | Social indicators | Indicadores sociales","Ocupació","informes altres","","El treball a Barcelona 2012","","text","info:eu-repo/semantics/report",""
"","","Institut Municipal d'Educació (Barcelona) | Fundació BCN Formació Professional","","Barcelona | Barcelona | Barcelona","2015 | 2016 | 2017 | 2018 | 2019","","2019","2019-02","","","","","","application/pdf","47 p.","application/pdf","","","organismes autònoms","","Mandat 2015-2019","http://hdl.handle.net/11703/117380","cat","Institut Municipal d'Educació (Barcelona)","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Institut Municipal d'Educació (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Formació professional | Occupational training | Formació professional | Planificació estratègica | Strategic planning | Planificación estratégica | Política educativa | Educational policy | Política educativa","Educació","informes altres","","La formació professional, motor de desenvolupament econòmic a Barcelona : 2015-1019 : informe","","text","info:eu-repo/semantics/report",""
"","","Institut de Cultura de Barcelona","","Barcelona | Barcelona | Barcelona","2013","No","2014-06","2014-06","","","","","","application/pdf","65 p.","application/pdf","","","entitats públiques empresarials","","Mandat 2011-2015","http://hdl.handle.net/11703/97443","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut de Cultura de Barcelona | Indústries culturals | Activitats culturals | Equipaments culturals | Política cultural | Institut de Cultura de Barcelona | Cultural industries | Cultural animation | Arts facilities | Cultural policy | Institut de Cultura de Barcelona | Industria cultural | Animación cultural | Equipamientos culturales | Política cultural","Cultura i oci","memòries","","Barcelona Cultura. Balanç 2013","","text","info:eu-repo/semantics/other",""
"Anual","","Gerència de Drets de Ciutadania, Participació i Transparència | Regidoria de Participació i Districtes | E1DOS Dinamització Social, S.L.","","Barcelona. Districte 8. Nou Barris | Barcelona. Distrito 8. Nou Barris | Barcelona. District 8. Nou Barris","2018","","2018-07","2018","","","","","","application/pdf","42 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/115343","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Participació ciutadana | Participación ciudadana | Citizen participation | Equipaments col·lectius | Equipamientos colectivos | Infrastructure (Economics)","Societat i benestar","informes altres","","Revisió del Pla d'Equipaments de Nou Barris : detecció de noves necessitats","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona | Turisme de Barcelona","","Barcelona | Barcelona | Barcelona","2009","","2009","2009","","","","","","application/pdf","37 p.","application/pdf","9495","","consorcis","","","http://hdl.handle.net/11703/86788","cat","Ajuntament de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme urbà | Urban tourism | Turismo urbano","Turisme","informes altres","Pla Estratègic de Turisme de la Ciutat de Barcelona 2010-2015","Anàlisi de la demanda turística trienni 2006-2008 : informes","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gabinet Tècnic de Programació | Oficina Municipal de Dades","","Barcelona | Barcelona | Barcelona","2017","","2018","2018","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/110959 | Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/110964","","","","","application/pdf","61 p.","application/pdf","","","","","","http://hdl.handle.net/11703/110957","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/110959 | http://hdl.handle.net/11703/110964","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Indicadors socials | Indicadors econòmics | Social indicators | Economic indicators | Indicadores económicos | Indicadores sociales","Sector públic","informes altres | revistes i anuaris | estadístiques i indicadors","","Barcelona 2017 : presentació de Barcelona","Presentació de Barcelona","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2008 | 2009 | 2010 | 2011","","2008","2008","La data de publicació d’aquest document és inexacta, s’ha escollit una data aproximada, tenint en compte, la dècada de la possible publicació.","","","","","application/pdf","134 p.","application/pdf","PAM2008_docbas","","","","Mandat 2007-2011","http://hdl.handle.net/11703/111723","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica | Strategic planning | Planificación estratégica","Sector públic","informes altres","Programa d'Actuació Municipal (PAM) 2008-2011 (Barcelona)","Document base per al debat del Programa d’Actuació Municipal : 2008-2011","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Direcció de Serveis de Participació i Associacionisme","","Barcelona | Barcelona | Barcelona","2010 | 2011 | 2012 | 2013 | 2014 | 2015","","2009","2009","La data de publicació d’aquest document és inexacta, s’ha escollit una data aproximada, tenint en compte, la dècada de la possible publicació.","","","","","application/pdf","18 p.","application/pdf","PDMPC_2010-2015_SIN","","","","Mandat 2011-2015","http://hdl.handle.net/11703/111730","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Participació ciutadana | Citizen participation | Participación ciudadana","Sector públic","informes altres","Pla Director Municipal de Participació Ciutadana 2010-2015 (Barcelona)","Síntesi de la Diagnosi i línies de treball per a l'elaboració del Pla Director Municipal de Participació Ciutadana 2010-2015","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Institut Municipal de Persones amb Discapacitat (Barcelona) | Bordas Eddy, Marta","","Barcelona | Barcelona | Barcelona","2018","","2019-01","2019-07","","","","","","application/pdf","508 p.","application/pdf","","","organismes autònoms","","Mandat 2015-2019","http://hdl.handle.net/11703/115105","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Instal·lacions esportives | Instalaciones deportivas | Sports facilities | Supressió de barreres arquitectòniques | Accesibilidad para personas con discapacidad | Barrier-free design | Accessibilitat | Accesibilidad | Accessibility","Esport","informes altres","Pla d'Accessibilitat Universal de Barcelona 2018-2026","Informe d’accessibilitat dels Centres Esportius Municipals a la ciutat de Barcelona per al Pla d’Accessibilitat Universal de Barcelona 2018-2026","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Consell Econòmic i Social de Barcelona","","Barcelona | Barcelona | Barcelona","2017","","2017-06","2017","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/117213","","","","","application/pdf","48 p.","application/pdf","","","consells","","","http://hdl.handle.net/11703/117212","cat","Consell Econòmic i Social de Barcelona","http://hdl.handle.net/11703/117213","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Consell Econòmic i Social de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Atur | Unemployment | Paro | Mercat de treball | Labor market | Mercado de trabajo","Ocupació","informes altres","","Atur a Barcelona : Juny 2017 : informe","","text","info:eu-repo/semantics/report",""
"Anual","Obert","Agència de Salut Pública de Barcelona | Consorci Sanitari de Barcelona","","Barcelona | Barcelona | Barcelona","","","2013","2013","","","","","","application/pdf","","application/pdf","13384","","","","","http://hdl.handle.net/11703/92325","cat","Agència de Salut Pública de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Salut pública | Serveis sanitaris | Public health | Health services | Salud pública | Servicios de salud","Salut","revistes i anuaris | informes altres","","La Salut a Barcelona. 2011 [versió lectura fàcil]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència de Presidència i Economia | Gabinet Tècnic de Programació | Oficina Municipal de Dades | Institut Municipal de Persones amb Discapacitat (Barcelona)","","Barcelona | Barcelona | Barcelona","2017","","2019-03-04","2019-03-04","","L’objectiu d’aquest document és fer una aproximació al perfil dels assalariats i assalariades amb discapacitat a la ciutat de Barcelona i, de forma més detallada, estudiar els seus salaris segons diferents característiques: sexe, edat, nivell d’estudis, relació laboral i tipus d’empresa. La font de la informació és la Mostra Contínua de Vides Laborals 2017. | El objetivo de este documento es hacer una aproximación al perfil de los asalariados y asalariadas con discapacidad en la Ciudad de Barcelona y, de manera más detallada, estudiar sus salarios según diferentes características: sexo, edad, nivel de estudios, relación laboral y tipo de empresa. | The aim of this document is to provide an approximation of the profile of disabled wage-earners in the City of Barcelona and, in a more detailed way, to study their salaries according to different characteristics: sex, age, level of education, employment relationship and type of company.","","","","application/pdf","15 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/112648","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Salaris | Discapacitats | Wages | People with disabilities | Salarios | Personas con discapacidad","Economia","informes altres","","Els salaris i el perfil de les persones amb discapacitat a Barcelona. 2017","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Autor desconegut","","","","","2012-06-18","2012","","","","","","application/pdf","","application/pdf","10876","","","","","http://hdl.handle.net/11703/88793","cat","","","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","","","","informes altres","","Informe sobre la preinscripció del curs 2012-2013 : Consell Escolar districte de Ciutat Vella","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gabinet Tècnic de Programació | Oficina Municipal de Dades | Gerència Municipal","","Barcelona | Barcelona | Barcelona","","","2018","2018","","","","","","application/pdf","17 p.","application/pdf","","","","","","http://hdl.handle.net/11703/112682","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Empreses | Emprenedoria | Business enterprises | Empresas | Emprendedores | Entrepreneurship","Economia","informes altres","","L'emprenedoria urbana a l'economia espanyola 2016","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Regidoria de Feminismes i LGTBI | Gerència de Recursos | Departament de Transversalitat de Gènere | Ruiz de Infante, Begoña | Qu, Sushan","","Barcelona | Barcelona | Barcelona","2018","","2018-05","2018-05","Sol·licitant de l’informe: Regidoria de Feminismes i LGTBI | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/111057","","","","","application/pdf","9 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/111056","zho","","http://hdl.handle.net/11703/111057","","","","","","","","","","CC-BY-NC-SA","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc-sa/4.0/deed.ca","Dones | Cultura xinesa | Participació ciutadana | Women | Chinese culture | Citizen participation | Mujeres | Cultura china | Participación ciudadana","Societat i benestar","informes altres","Pla per la Justícia de Gènere 2016-2020 (Barcelona) | Estratègia contra la Feminització de la Pobresa i la Precarietat a Barcelona 2016-2024 (Barcelona)","Barceloneses de context cultural xinès : reptes i oportunitats per a la ciutat : resum executiu [versió en xinès]","Zhōngguó wénhuà bèijǐng de bāsèluōnà nǚxìng. Dāngqián běn shì miànlín de tiǎozhàn hé jīyù [versió en xinès] | 中国文化背景的巴塞罗那女性。 当前本市面临的挑战和机遇。[versió en xinès]","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència de Recursos Humans i Organització | Comissió Tècnica del Pla d'Igualtat","","Barcelona | Barcelona | Barcelona","","","2018-11-05","2019","","","","","","application/pdf","24 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/113619","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Igualtat retributiva | Igualtat entre els sexes | Pay equity | Gender equality | Igualdad salarial | Igualdad de género","Sector públic","informes altres","Pla d'Igualtat d'Oportunitats entre Homes i Dones de l'Ajuntament de Barcelona 2015-2019","Document de treball de síntesi bretxa salarial 2017 :  II Pla d'Igualtat d'Oportunitats entre Homes i Dones 2015-2019 de l'Ajuntament de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona Cicle de l'Aigua, S.A. | Direcció de Planificació i Innovació | Àrea de Medi Ambient i Serveis Urbans | Gerència d'Ecologia Urbana","","Barcelona | Barcelona | Barcelona","2018","","2018","2018","Conté taules amb informació sobre consum d'aigua","","","","","application/pdf","2 documents","application/pdf","","","societats mercantils","","","http://hdl.handle.net/11703/113937","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Recursos hidràulics | Explotación de recursos hidráulicos | Water resources development | Aigua | Agua | Water","Medi ambient","informes altres","","El consum d'aigua de Barcelona: l'aprofitament i els usos dels recursos hídrics 2018","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona | Turisme de Barcelona","","Barcelona | Barcelona | Barcelona","2009","","2009","2009","","","","","","application/pdf","50 p.","application/pdf","9494","","consorcis","","","http://hdl.handle.net/11703/86787","cat","Ajuntament de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Allotjament turístic | Turisme urbà | Tourist accommodation | Urban tourism | Alojamientos turísticos | Turismo urbano","Turisme","informes altres","Pla Estratègic de Turisme de la Ciutat de Barcelona 2010-2015","Anàlisi de sector de l'allotjament turístic : informes","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Autoritat del Transport Metropolità","","Barcelona (Àrea metropolitana) | Barcelona (Metropolitan area) | Barcelona (Área metropolitana)","2001 | 2002 | 2003 | 2004 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010","","2009-04","2009","","","","","","application/pdf","46 p.","application/pdf","4935","","","","","http://hdl.handle.net/11703/111820","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Transport públic | Transporte público | Local transit | Infraestructures de transport | Infraestructuras del transporte | Transportation buildings | Planificació estratègica","Sector públic | Transport","informes altres","","Sisè informe de seguiment del PDI 2001-2010","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Deloitte (Firma) | Ajuntament de Barcelona | Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2015","2015","Breu informe elaborat per Deloitte, Barcelona Activa que identifica les ocupacions més demandades a partir de l'anàlisi de l'actual mercat de treball i la seva projecció","","","","","application/pdf","12 p.","application/pdf","17869","","societats mercantils","","","http://hdl.handle.net/11703/90249","cat","Ajuntament de Barcelona","","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Ajuntament de Barcelona","","Professions | Occupations | Profesiones","Ocupació","informes altres","","Ocupacions més demandades als sectors econòmics : informe global 2014","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2004 | 2005 | 2006 | 2007","","2004","2004","","","","","","application/pdf","187 p.","application/pdf","3126","","","","","http://hdl.handle.net/11703/86818","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica | Participació ciutadana | Política social | Strategic planning | Citizen participation | Social policy | Planificación estratégica | Participación ciudadana | Política social","Sector públic | Societat i benestar","informes altres","Programa d'Actuació Municipal (PAM) 2004-2007 (Barcelona)","Informe participatiu al Programa d'Actuació Municipal 2004-2007 :  Consell Municipal de Benestar Social: compromisos i prioritats per a una ciutat més inclusiva i solidària","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Regidoria de Drets Civils","","","","","2007","2007","","","","","","application/pdf","","application/pdf","9423","","","","","http://hdl.handle.net/11703/88785","cat","","","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","","","","informes altres","","Informe sobre l'exercici dels drets a l'educació dels menors estrangers a l'escola primària i a l'assistència sanitària dels estrangers residents a la ciutat de Barcelona : Barcelona i els drets socials dels estrangers","Barcelona i els drets socials del estrangers : Informe sobre l'exercici dels drets a l'educació dels menors estrangers a l'escola primària i a l'assistència sanitària dels estrangers residents a la ciutat de Barcelona / Observatori del Sistema Penal i els Drets Humans. Universitat de Barcelona","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
