"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisformatof","dcrelationisrequiredby","dcrelationisversionof","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsource","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 39"
"Anual","","Institut Municipal d'Hisenda (Barcelona)","Barcelona | Barcelona | Barcelona","2009","","2010","2010","","","","application/pdf","26 p.","application/pdf","","","organismes autònoms","Mandat 2007-2011","http://hdl.handle.net/11703/106870","cat","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Institut Municipal d'Hisenda (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","","Institut Municipal d'Hisenda (Barcelona) | Finances municipals | Comptabilitat | Institut Municipal d'Hisenda (Barcelona) | Municipal finance | Accounting | Institut Municipal d'Hisenda (Barcelona) | Finanzas municipales | Contabilidad","Economia","comptes","Comptes anuals 2009 de l'Institut Municipal d'Hisenda (Barcelona)","","text","info:eu-repo/semantics/other",""
"Anual","","Informació i Comunicació de Barcelona, S.A. | PricewaterhouseCoopers (Firma) | Gabinete Técnico de Auditoría y Consultoría, S.A.","Barcelona | Barcelona | Barcelona","2013","","2014-03-13","2014","Formulats pel Consell d'Administació de l'entitat de 13-03-2014","","","application/pdf","60 p.","application/pdf","","","societats mercantils","Mandat 2011-2015","http://hdl.handle.net/11703/107071","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Informació i Comunicació de Barcelona, S.A. | Gabinete Técnico de Auditoría y Consultoría, S.A. | PricewaterhouseCoopers (Firma)","http://creativecommons.org/licenses/by/4.0/deed.ca","","Informació i Comunicació de Barcelona, S.A. | Finances municipals | Comptabilitat | Auditoria | Informació i Comunicació de Barcelona, S.A. | Municipal finance | Accounting | Auditing | Informació i Comunicació de Barcelona, S.A. | Finanzas municipales | Contabilidad | Auditoría","Economia","comptes | documents digitalitzats","Comptes anuals 2013 de Informació i Comunicació de Barcelona, S.A. (juntament amb l’informe de l’auditoria)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Parcs i Jardins de Barcelona, Institut Municipal","Barcelona | Barcelona | Barcelona","2011","","2012-03-28","2012","Aprovats pel Consell d'Administració el 28-03-2012","","","application/pdf","30 p.","application/pdf","","","entitats públiques empresarials","Mandat 2011-2015","http://hdl.handle.net/11703/106851","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Parcs i Jardins de Barcelona, Institut Municipal","http://creativecommons.org/licenses/by/4.0/deed.ca","","Parcs i Jardins de Barcelona, Institut Municipal | Finances municipals | Comptabilitat | Parcs i Jardins de Barcelona, Institut Municipal | Municipal finance | Accounting | Parcs i Jardins de Barcelona, Institut Municipal | Finanzas municipales | Contabilidad","Economia","comptes | documents digitalitzats","Memòria de l'exercici 2011 de l'Institut Municipal de Parcs i Jardins de Barcelona","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","Oberta","Tractament i Selecció de Residus, S.A. (TERSA) | PricewaterhouseCoopers (Firma) | Gabinete Técnico de Auditoría y Consultoría, S.A.","Barcelona | Barcelona | Barcelona","2013","No","2014","2014","","","","application/pdf","2 documents","application/pdf",18590.0,"","societats mercantils","Mandat 2011-2015","http://hdl.handle.net/11703/87879","cat","Tractament i Selecció de Residus (Barcelona)","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Tractament i Selecció de Residus, S.A. (TERSA) | Gabinete Técnico de Auditoría y Consultoría, S.A. | PricewaterhouseCoopers (Firma)","http://creativecommons.org/licenses/by/4.0/deed.ca","","Comptabilitat | Auditoria | Tractament i Selecció de Residus, S.A. (TERSA) | Finances municipals | Accounting | Auditing | Tractament i Selecció de Residus, S.A. (TERSA) | Municipal finance | Contabilidad | Auditoría | Tractament i Selecció de Residus, S.A. (TERSA) | Finanzas municipales","Economia","comptes","Comptes anuals 2013 de TERSA (juntament amb l'informe d'auditoria)","","text","info:eu-repo/semantics/other",""
"Anual","","Consorci Mercat de les Flors | PricewaterhouseCoopers (Firma) | Gabinete Técnico de Auditoría y Consultoría, S.A.","Barcelona | Barcelona | Barcelona","2014","","2015","2015","","","","application/pdf","66 p.","application/pdf","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/107230","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci Mercat de les Flors | PricewaterhouseCoopers (Firma) | Gabinete Técnico de Auditoría y Consultoría, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","","Consorci Mercat de les Flors | Finances municipals | Comptabilitat | Auditoria | Consorci Mercat de les Flors | Municipal finance | Accounting | Auditing | Consorci Mercat de les Flors | Finanzas municipales | Contabilidad | Auditoría","Economia","comptes | documents digitalitzats","Comptes anuals 2014 del Consorci Mercat de les Flors (juntament amb l’informe de l’auditoria)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","Direcció de Comptabilitat | Gerència de Finances","Barcelona | Barcelona | Barcelona","2006","","2006","2006","","Digitalitzat per la Direcció de Comptabilitat","Memòria justificativa del cost i rendiment dels serveis públics","application/pdf","182 p.","application/pdf",14975.0,"","","Mandat 2003-2007","http://hdl.handle.net/11703/88510","cat","","","","Reproducció digital del document en suport original","","","","CC0","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","https://creativecommons.org/choose/zero/?lang=ca","","Finances municipals | Comptabilitat | Municipal finance | Accounting | Finanzas municipales | Contabilidad","Economia","comptes | documents digitalitzats","Compte General 2006","","text","info:eu-repo/semantics/other",""
"Anual","","Institut Municipal d'Educació (Barcelona)","Barcelona | Barcelona | Barcelona","2015","","2016-03-29","2016","Aprovats pel Gerent i la Presidenta de l'Institut el 29-03-2016","","","application/pdf","82 p.","application/pdf","","","organismes autònoms","Mandat 2015-2019","http://hdl.handle.net/11703/106873","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Institut Municipal d'Educació (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","","Institut Municipal d'Educació (Barcelona) | Finances municipals | Comptabilitat | Institut Municipal d'Educació (Barcelona) | Municipal finance | Accounting | Institut Municipal d'Educació (Barcelona) | Finanzas municipales | Contabilidad","Economia","comptes | documents digitalitzats","Comptes anuals 2015 de l'Institut Municipal d'Educació (Barcelona)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Mediacomplex, S.A. | PricewaterhouseCoopers (Firma)","Barcelona | Barcelona | Barcelona","2015","","2016-03-15","2016","Formulats pel Consell d'Administració de la Societat de 15-03-2016","","Informe de gestió de l'exercici 2015","application/pdf","52 p.","application/pdf","","","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/107395","spa","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Mediacomplex, S.A. | PricewaterhouseCoopers (Firma)","http://creativecommons.org/licenses/by/4.0/deed.ca","","Mediacomplex, S.A. | Finances municipals | Comptabilitat | Auditoria | Mediacomplex, S.A. | Municipal finance | Accounting | Auditing | Mediacomplex, S.A. | Finanzas municipales | Contabilidad | Auditoría","Economia","comptes | documents digitalitzats","Cuentas anuales 2015 de Mediacomplex, S.A. (junto con el informe de auditoría)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","Tancada","Foment de Ciutat Vella, S.A.","Barcelona. Districte 1. Ciutat Vella | Barcelona. District 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella","2007","No","2008","2008","Auditoria de comptes elaborada per PriceWaterHouseCoopers i Gabinete técnico de Auditoría y Consultoria, S.A. a data de 31-12-2007","","","application/pdf","","application/pdf",5695.0,"","entitats públiques empresarials","Mandat 2003-2007","http://hdl.handle.net/11703/89575","cat","Foment de Ciutat Vella","","","","","","","CC0","info:eu-repo/semantics/openAccess","Foment de Ciutat Vella, S.A.","https://creativecommons.org/choose/zero/?lang=ca","","Foment de Ciutat Vella, S.A. | Habitatge | Foment de Ciutat Vella, S.A. | Housing | Foment de Ciutat Vella, S.A. | Vivienda","Urbanisme i infraestructures","comptes","Informe d'auditoria de comptes anuals 2007","","text","info:eu-repo/semantics/other",""
"Anual","","Fira 2000, S.A. | Faura-Casas Auditors Consultors, S.L.","Barcelona | Barcelona | Barcelona","2012","","2013-04-09","2013","Formulats pel Consell d'Administració de la Societat de 09-04-2013","","Informe de gestió de l'exercici 2012","application/pdf","102 p.","application/pdf","","","societats mercantils","Mandat 2011-2015","http://hdl.handle.net/11703/107371","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Fira 2000, S.A. | Faura-Casas Auditors Consultors, S.L.","http://creativecommons.org/licenses/by/4.0/deed.ca","","Fira 2000, S.A. | Finances municipals | Comptabilitat | Auditoria | Fira 2000, S.A. | Municipal finance | Accounting | Auditing | Fira 2000, S.A. | Finanzas municipales | Contabilidad | Auditoría","Economia","comptes | documents digitalitzats","Comptes anuals 2012 de Fira 2000, S.A. (juntament amb l’informe de l’auditoria)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
