"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisformatof","dcrelationisrequiredby","dcrelationisversionof","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsource","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 39"
"","","Consorci del Museu d'Art Contemporani de Barcelona | Gabinete Técnico de Auditoría y Consultoría, S.A.","Barcelona | Barcelona | Barcelona","2017","","2018","2018","","","","application/pdf","55 p.","application/pdf","","","consorcis","Mandat 2015-2019","http://hdl.handle.net/11703/115569","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Finances municipals | Comptabilitat | Consorci del Museu d'Art Contemporani de Barcelona | Auditoria | Municipal finance | Accounting | Consorci del Museu d'Art Contemporani de Barcelona | Auditing | Finanzas municipales | Contabilidad | Consorci del Museu d'Art Contemporani de Barcelona | Auditoría","Economia","comptes | documents digitalitzats","Comptes anuals 2017 del Consorci del Museu d'Art Contemporani de Barcelona (juntament amb l’informe de l’auditoria)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Agència de Comunicació Local, S.A. | Auren Auditors BCN, S.A.","Barcelona | Barcelona | Barcelona","2010","","2011-03-30","2011","Formulats pel Consell d'Administració de la Societat de 30-03-2011","","Informe de gestió de l'exercici 2010","application/pdf","67 p.","application/pdf","","","societats mercantils","Mandat 2011-2015","http://hdl.handle.net/11703/107170","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Agència de Comunicació Local, S.A. | Auren Auditors BCN, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","","Agència de Comunicació Local, S.A. | Finances municipals | Comptabilitat | Auditoria | Agència de Comunicació Local, S.A. | Municipal finance | Accounting | Auditing | Agència de Comunicació Local, S.A. | Finanzas municipales | Contabilidad | Auditoría","Economia","comptes | documents digitalitzats","Comptes anuals 2010 de l'Agència de Comunicació Local, S.A. (juntament amb l’informe de l’auditoria)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Solucions Integrals per als Residus, S.A. (SIRESA) | Tractament i Selecció de Residus, S.A. (TERSA)","Barcelona | Barcelona | Barcelona","2012","","2013-02-14","2013","Formulats pel Consell d'Administació de l'entitat de 14-02-2013","","Infome de gestió de l'exercici 2012","application/pdf","38 p.","application/pdf","","","societats mercantils","Mandat 2011-2015","http://hdl.handle.net/11703/107033","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Solucions Integrals per als Residus, S.A. (SIRESA)","http://creativecommons.org/licenses/by/4.0/deed.ca","","Solucions Integrals per als Residus, S.A. (SIRESA) | Finances municipals | Comptabilitat | Solucions Integrals per als Residus, S.A. (SIRESA) | Municipal finance | Accounting | Solucions Integrals per als Residus, S.A. (SIRESA) | Finanzas municipales | Contabilidad","Economia","comptes | documents digitalitzats","Comptes anuals 2012 de Solucions Integrals per als Residus, S.A. (SIRESA)","Memòria de l'exercici 2012 de Solucions Integrals per als Residus, S.A. (SIRESA)","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","Oberta","Tractament i Selecció de Residus, S.A. (TERSA)","Barcelona | Barcelona | Barcelona","2012","No","2013","2013","Requerits per la Memoria 2012 [http://hdl.handle.net/11703/87894]","","","application/pdf","","application/pdf",18593.0,"","societats mercantils","Mandat 2011-2015","http://hdl.handle.net/11703/87892","spa","Tractament i Selecció de Residus (Barcelona)","","","","http://hdl.handle.net/11703/87894","","","CC0","info:eu-repo/semantics/openAccess","Tractament i Selecció de Residus, S.A. (TERSA)","https://creativecommons.org/choose/zero/?lang=ca","","Tractament i Selecció de Residus, S.A. (TERSA) | Comptabilitat | Tractament i Selecció de Residus, S.A. (TERSA) | Accounting | Tractament i Selecció de Residus, S.A. (TERSA) | Contabilidad","Medi ambient | Economia","comptes","Datos de producción 2012","","text","info:eu-repo/semantics/other",""
"Anual","","Institut Municipal de Mercats (Barcelona)","Barcelona | Barcelona | Barcelona","2011","","2012","2012","","","","application/pdf","40 p.","application/pdf","","","organismes autònoms","Mandat 2011-2015","http://hdl.handle.net/11703/106966","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Institut Municipal de Mercats (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","","Institut Municipal de Mercats (Barcelona) | Finances municipals | Comptabilitat | Institut Municipal de Mercats (Barcelona) | Municipal finance | Accounting | Institut Municipal de Mercats (Barcelona) | Finanzas municipales | Contabilidad","Economia","comptes | documents digitalitzats","Comptes anuals 2011 de l'Institut Municipal de Mercats (Barcelona)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Federació de Municipis de Catalunya","Barcelona | Barcelona | Barcelona","2013","","2014-12-16","2014","Aprovació incial pel Comitè Executiu de l'Associació de 10-06-2014 | Aprovació definitiva per la XXIV Assemblea general de la Federació de Municipis de Catalunya de 16-12-2014","","","application/pdf","43 p.","application/pdf","","","associacions","Mandat 2011-2015","http://hdl.handle.net/11703/107337","cat","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Federació de Municipis de Catalunya","http://creativecommons.org/licenses/by/4.0/deed.ca","","Federació de Municipis de Catalunya | Finances municipals | Comptabilitat | Federació de Municipis de Catalunya | Municipal finance | Accounting | Federació de Municipis de Catalunya | Finanzas municipales | Contabilidad","Economia","comptes","Comptes anuals 2013 de la Federació de Municipis de Catalunya","","text","info:eu-repo/semantics/other",""
"Anual","","Fundación Consejo España-India","Barcelona | Barcelona | Barcelona","2014","","2015-06-24","2015","Aprovats pel Patronat de la Fundació de 24-06-2015","","","application/pdf","46 p.","application/pdf","","","fundacions","Mandat 2011-2015","http://hdl.handle.net/11703/107201","spa","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundación Consejo España-India","http://creativecommons.org/licenses/by/4.0/deed.ca","","Fundación Consejo España-India | Finances municipals | Comptabilitat | Fundación Consejo España-India | Municipal finance | Accounting | Fundación Consejo España-India | Finanzas municipales | Contabilidad","Economia","comptes | documents digitalitzats","Cuentas anuales 2014 de la Fundación Consejo España-India","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","Barcelona Cicle de l'Aigua, S.A.","Barcelona | Barcelona | Barcelona","2016","","2017-03-15","2017-06-26","","","","application/pdf","68 p.","application/pdf","","","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/102822","cat","","","","Reproducció digital del document en suport original","","","","Domini públic","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Auditoria | Comptabilitat | Barcelona Cicle de l'Aigua, S.A. | Auditing | Accounting | Barcelona Cicle de l'Aigua, S.A. | Auditoría | Contabilidad | Barcelona Cicle de l'Aigua, S.A.","Economia","comptes | documents digitalitzats","Comptes anuals 2016 de Barcelona Cicle de l'Aigua, S.A. (juntament amb l'informe de l'auditoria)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Consorci per a l'Organització del X Campionat Mundial de Natació Barcelona 2003","Barcelona | Barcelona | Barcelona","2004","","2005","2005","","","","application/vnd.ms-excel","1 p.","application/vnd.ms-excel","","","consorcis","Mandat 2003-2007","http://hdl.handle.net/11703/107144","cat","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci per a l'Organització del X Campionat Mundial de Natació Barcelona 2003","http://creativecommons.org/licenses/by/4.0/deed.ca","","Consorci per a l'Organització del X Campionat Mundial de Natació Barcelona 2003 | Finances municipals | Comptabilitat | Consorci per a l'Organització del X Campionat Mundial de Natació Barcelona 2003 | Municipal finance | Accounting | Consorci per a l'Organització del X Campionat Mundial de Natació Barcelona 2003 | Finanzas municipales | Contabilidad","Economia","comptes","Comptes anuals 2004 del Consorci per a l'Organització del X Campionat Mundial de Natació Barcelona 2003","","dataset","info:eu-repo/semantics/other",""
"Anual","","Institut Municipal d'Hisenda (Barcelona) | PricewaterhouseCoopers (Firma) | Gabinete Técnico de Auditoría y Consultoría, S.A.","Barcelona | Barcelona | Barcelona","2013","","2014","2014","","","","application/pdf","65 p.","application/pdf","","","organismes autònoms","Mandat 2011-2015","http://hdl.handle.net/11703/107347","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Institut Municipal d'Hisenda (Barcelona) | PricewaterhouseCoopers (Firma) | Gabinete Técnico de Auditoría y Consultoría, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","","Institut Municipal d'Hisenda (Barcelona) | Finances municipals | Comptabilitat | Institut Municipal d'Hisenda (Barcelona) | Municipal finance | Accounting | Institut Municipal d'Hisenda (Barcelona) | Finanzas municipales | Contabilidad","Economia","comptes | documents digitalitzats","Comptes anuals 2013 de l'Institut Municipal d'Hisenda (juntament amb l'informe de l'auditoria)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Consorci per a l'Organització del X Campionat Mundial de Natació Barcelona 2003 | Gabinete Técnico de Auditoría y Consultoría, S.A.","Barcelona | Barcelona | Barcelona","2003","","2004","2004","","","","application/pdf","26 p.","application/pdf","","","consorcis","Mandat 2003-2007","http://hdl.handle.net/11703/107143","spa","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci per a l'Organització del X Campionat Mundial de Natació Barcelona 2003 | Gabinete Técnico de Auditoría y Consultoría, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","","Consorci per a l'Organització del X Campionat Mundial de Natació Barcelona 2003 | Finances municipals | Comptabilitat | Auditoria | Consorci per a l'Organització del X Campionat Mundial de Natació Barcelona 2003 | Municipal finance | Accounting | Auditing | Consorci per a l'Organització del X Campionat Mundial de Natació Barcelona 2003 | Finanzas municipales | Contabilidad | Auditoría","Economia","comptes | documents digitalitzats","Cuentas anuales 2003 del Consorci per a l'Organització del X Campionat Mundial de Natació Barcelona 2003 (junto con el informe de auditoría)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Institut Municipal d'Educació (Barcelona)","Barcelona | Barcelona | Barcelona","2011","","2012","2012","","","","application/pdf","2 documents","application/pdf","","","organismes autònoms","Mandat 2011-2015","http://hdl.handle.net/11703/106876","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Institut Municipal d'Educació (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","","Institut Municipal d'Educació (Barcelona) | Finances municipals | Comptabilitat | Institut Municipal d'Educació (Barcelona) | Municipal finance | Accounting | Institut Municipal d'Educació (Barcelona) | Finanzas municipales | Contabilidad","Economia","comptes | documents digitalitzats","Comptes anuals 2011 de l'Institut Municipal d'Educació (Barcelona)","Memòria de l'exercici 2011 de l'Institut Municipal d'Educació (Barcelona)","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Autoritat del Transport Metropolità | Gabinete Técnico de Auditoría y Consultoría, S.A.","Barcelona | Barcelona | Barcelona","2014","","2015-04-07","2015","Formulats pel Consell d'Administració del Consorci de 07-04-2015","","","application/pdf","2 documents","application/pdf","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/107142","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Autoritat del Transport Metropolità | Gabinete Técnico de Auditoría y Consultoría, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","","Autoritat del Transport Metropolità | Finances municipals | Comptabilitat | Auditoria | Autoritat del Transport Metropolità | Municipal finance | Accounting | Auditing | Autoritat del Transport Metropolità | Finanzas municipales | Contabilidad | Auditoría","Economia","comptes | documents digitalitzats","Comptes anuals 2014 del Consorci Autoritat del Transport Metropolità (juntament amb l’informe de l’auditoria)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","Gerència de Finances | Direcció de Comptabilitat","Barcelona | Barcelona | Barcelona","2009","","2009","2009","","","Memòria justificativa del cost i rendiment dels serveis públics","application/pdf | application/pdf","268 p.","application/pdf",13427.0,"","","Mandat 2007-2011","http://hdl.handle.net/11703/97759","cat","","","","Reproducció digital del document en suport original","","","","CC0","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","https://creativecommons.org/choose/zero/?lang=ca","","Finances municipals | Comptabilitat | Municipal finance | Accounting | Finanzas municipales | Contabilidad","Economia","comptes | documents digitalitzats","Compte General 2009","","text","info:eu-repo/semantics/other",""
"Anual","","Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona)","Barcelona | Barcelona | Barcelona","2010","","2011","2011","","","","application/pdf","27 p.","application/pdf","","","organismes autònoms","Mandat 2007-2011","http://hdl.handle.net/11703/106879","cat","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","","Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona) | Finances municipals | Comptabilitat | Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona) | Municipal finance | Accounting | Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona) | Finanzas municipales | Contabilidad","Economia","comptes","Comptes anuals 2010 de l'Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona)","","text","info:eu-repo/semantics/other",""
"Anual","","Selectives Metropolitanes, S.A. (SEMESA) | PricewaterhouseCoopers (Firma) | Gabinete Técnico de Auditoría y Consultoría, S.A. | Tractament i Selecció de Residus, S.A. (TERSA)","Barcelona | Barcelona | Barcelona","2006","","2007","2007-03","","","Informe de gestió de l'exercici 2006","application/pdf","25 p.","application/pdf","","","societats mercantils","Mandat 2003-2007","http://hdl.handle.net/11703/107350","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Selectives Metropolitanes, S.A. (SEMESA) | PricewaterhouseCoopers (Firma) | Gabinete Técnico de Auditoría y Consultoría, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","","Selectives Metropolitanes, S.A. (SEMESA) | Finances municipals | Comptabilitat | Auditoria | Selectives Metropolitanes, S.A. (SEMESA) | Municipal finance | Accounting | Auditing | Selectives Metropolitanes, S.A. (SEMESA) | Finanzas municipales | Contabilidad | Auditoría","Economia","comptes","Comptes anuals 2006 de SEMESA (juntament amb l’informe de l’auditoria)","","text","info:eu-repo/semantics/other",""
"Anual","","Fundació Barcelona Mobile World Capital Foundation","Barcelona | Barcelona | Barcelona","2014","","2015-03-26","2015","Formulats pel Patronat de la Fundació de 26-03-2015","","","application/pdf","38 p.","application/pdf","","","fundacions","Mandat 2011-2015","http://hdl.handle.net/11703/107196","spa","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Barcelona Mobile World Capital Foundation","http://creativecommons.org/licenses/by/4.0/deed.ca","","Fundació Barcelona Mobile World Capital Foundation | Finances municipals | Comptabilitat | Fundació Barcelona Mobile World Capital Foundation | Municipal finance | Accounting | Fundació Barcelona Mobile World Capital Foundation | Finanzas municipales | Contabilidad","Economia","comptes","Cuentas anuales 2014 de la Fundació Barcelona Mobile World Capital Foundation","","text","info:eu-repo/semantics/other",""
"Anual","","Agència Local d'Energia de Barcelona","Barcelona | Barcelona | Barcelona","2008","","2009","2009","","","","application/pdf","39 p.","application/pdf","","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/107115","cat","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Agència Local d'Energia de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Agència Local d'Energia de Barcelona | Finances municipals | Comptabilitat | Agència Local d'Energia de Barcelona | Municipal finance | Accounting | Agència Local d'Energia de Barcelona | Finanzas municipales | Contabilidad","Economia","comptes","Comptes anuals 2008 de l'Agència Local d'Energia de Barcelona","","text","info:eu-repo/semantics/other",""
"Anual","","Asociación América-Europa de Regiones y Ciudades","Barcelona | Barcelona | Barcelona","2012","","2013","2013","","","","application/pdf","10 p.","application/pdf","","","associacions","Mandat 2011-2015","http://hdl.handle.net/11703/106813","spa","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Asociación América-Europa de Regiones y Ciudades","http://creativecommons.org/licenses/by/4.0/deed.ca","","Asociación América-Europa de Regiones y Ciudades | Finances | Comptabilitat | Asociación América-Europa de Regiones y Ciudades | Finance | Accounting | Asociación América-Europa de Regiones y Ciudades | Finanzas | Contabilidad","Economia","comptes","Cuentas anuales 2012 de la Asociación América-Europa de Regiones y Ciudades","Memoria del ejercicio 2012 de la Asociación América-Europa de Regiones y Ciudades","text","info:eu-repo/semantics/other",""
"Anual","","Fundació Mies van der Rohe","Barcelona | Barcelona | Barcelona","2011","","2012","2012","","","","application/pdf","25 p.","application/pdf","","","fundacions | fundacions","Mandat 2011-2015","http://hdl.handle.net/11703/106971","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Mies van der Rohe","http://creativecommons.org/licenses/by/4.0/deed.ca","","Fundació Mies van der Rohe | Municipal finance | Accounting | Fundació Mies van der Rohe | Finanzas municipales | Contabilidad | Fundació Mies van der Rohe | Finances municipals | Comptabilitat","Economia","comptes | documents digitalitzats","Comptes anuals 2011 de la Fundació Mies van der Rohe","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","22@bcn, S.A.","Barcelona | Barcelona | Barcelona","2011","","2012","2012","","","","application/pdf","38 p.","application/pdf","","","societats mercantils","Mandat 2011-2015","http://hdl.handle.net/11703/107028","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","22@bcn, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","","22@bcn, S.A. | Finances municipals | Comptabilitat | 22@bcn, S.A. | Municipal finance | Accounting | 22@bcn, S.A. | Finanzas municipales | Contabilidad","Economia","comptes | documents digitalitzats","Comptes anuals 2011 de 22@bcn, S.A.","Memòria dels comptes anuals de l'exercici 2011 de 22@bcn, S.A.","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Institut Europeu de la Mediterrània (Barcelona) | Pleta Auditores-Consultores, S.L.P.","Barcelona | Barcelona | Barcelona","2010","","2011-06-08","2011-11-10","Aprovats per la Junta de Govern de l'Institut de 08-06-2011","","","application/pdf","58 p.","application/pdf","","","organismes autònoms","Mandat 2007-2011","http://hdl.handle.net/11703/106779","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Institut Europeu de la Mediterrània (Barcelona) | Pleta Auditores-Consultores, S.L.P.","http://creativecommons.org/licenses/by/4.0/deed.ca","","Institut Europeu de la Mediterrània (Barcelona) | Finances municipals | Comptabilitat | Auditoria | Institut Europeu de la Mediterrània (Barcelona) | Municipal finance | Accounting | Auditing | Institut Europeu de la Mediterrània (Barcelona) | Finanzas municipales | Contabilidad | Auditoría","Economia","comptes | documents digitalitzats","Comptes anuals 2010 de l'Institut Europeu de la Mediterrània (Barcelona) (juntament amb l’informe de l’auditoria)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Consorci de l'Habitatge de Barcelona","Barcelona | Barcelona | Barcelona","2012","","2013","2013","","","","application/pdf","26 p.","application/pdf","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/106777","cat","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci de l'Habitatge de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Consorci de l'Habitatge de Barcelona | Finances municipals | Comptabilitat | Consorci de l'Habitatge de Barcelona | Municipal finance | Accounting | Consorci de l'Habitatge de Barcelona | Finanzas municipales | Contabilidad","Economia","comptes","Comptes anuals 2012 del Consorci de l'Habitatge de Barcelona","","text","info:eu-repo/semantics/other",""
"Anual","","Fundació Privada Inform - Institut per a la Formació de Joves vers l'Administració d'Empreses","Barcelona | Barcelona | Barcelona","2012","","2013","2013","","","","application/pdf","41 p.","application/pdf","","","fundacions","Mandat 2011-2015","http://hdl.handle.net/11703/106791","cat","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Privada Inform - Institut per a la formació de joves vers l'administració d'empreses","http://creativecommons.org/licenses/by/4.0/deed.ca","","Fundació Privada Inform - Institut per a la Formació de Joves vers l'Administració d'Empreses | Finances | Comptabilitat | Fundació Privada Inform - Institut per a la Formació de Joves vers l'Administració d'Empreses | Finance | Accounting | Fundació Privada Inform - Institut per a la Formació de Joves vers l'Administració d'Empreses | Finanzas | Contabilidad","Economia","comptes","Comptes anuals 2012 de la Fundació Privada Inform - Institut per a la formació de joves vers l'administració d'empreses","Memòria de l'exercici 2012 de la Fundació Privada Inform - Institut per a la formació de joves vers l'administració d'empreses","text","info:eu-repo/semantics/other",""
"","","Sector de Serveis Generals","Barcelona | Barcelona | Barcelona","2004","","2004","2004","","","","application/pdf","164 p.","application/pdf","","","","Mandat 2003-2007","http://hdl.handle.net/11703/97417","cat","","","","Reproducció digital del document en suport original","","","","CC0","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","https://creativecommons.org/choose/zero/?lang=ca","","Finances municipals | Comptabilitat | Municipal finance | Accounting | Finanzas municipales | Contabilidad","Economia","comptes | documents digitalitzats","Compte General 2004","","text","info:eu-repo/semantics/other",""
"Anual","","Selectives Metropolitanes, S.A. (SEMESA) | PricewaterhouseCoopers (Firma) | Gabinete Técnico de Auditoría y Consultoría, S.A. | Tractament i Selecció de Residus, S.A. (TERSA)","Barcelona | Barcelona | Barcelona","2007","","2008","2008-03","","","Informe de gestió de l'exercici 2007","application/pdf","28 p.","application/pdf","","","societats mercantils","Mandat 2007-2011","http://hdl.handle.net/11703/107348","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Selectives Metropolitanes, S.A. (SEMESA) | PricewaterhouseCoopers (Firma) | Gabinete Técnico de Auditoría y Consultoría, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","","Selectives Metropolitanes, S.A. (SEMESA) | Finances municipals | Comptabilitat | Auditoria | Selectives Metropolitanes, S.A. (SEMESA) | Municipal finance | Accounting | Auditing | Selectives Metropolitanes, S.A. (SEMESA) | Finanzas municipales | Contabilidad | Auditoría","Economia","comptes | documents digitalitzats","Comptes anuals 2007 de SEMESA (juntament amb l’informe de l’auditoria)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","Barcelona Cicle de l'Aigua, S.A. | Faura-Casas Auditors Consultors, S.L.","Barcelona | Barcelona | Barcelona","2017","No","2018","2018","","","","application/pdf","71 p.","application/pdf","","","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/115554","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Comptabilitat | Contabilidad | Accounting | Auditoria | Auditoría | Auditing | Barcelona Cicle de l'Aigua, S.A. | Barcelona Cicle de l'Aigua, S.A. | Barcelona Cicle de l'Aigua, S.A.","Economia","comptes | documents digitalitzats","Comptes anuals 2017 de Barcelona Cicle de l'Aigua, S.A. (juntament amb l'informe de l'auditoria)","Memòria de l'exercici 2017 de Barcelona Cicle de l'Aigua, S.A.","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Gran Teatre del Liceu. Consorci | Rosés Auditores Asociados, S.L.P.","Barcelona | Barcelona | Barcelona","2013 | 2014","No","2015-02","2015","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/110654","","","application/pdf","48 p.","application/pdf","","","","Mandat 2011-2015","http://hdl.handle.net/11703/110653","cat","","http://hdl.handle.net/11703/110654","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Gran Teatre del Liceu. Consorci | Rosés Auditores Asociados, S.L.P.","http://creativecommons.org/licenses/by/4.0/deed.ca","","Gran Teatre del Liceu. Consorci | Comptabilitat | Auditoria | Gran Teatre del Liceu. Consorci | Accounting | Auditing | Gran Teatre del Liceu. Consorci | Contabilidad | Auditoría","Economia","comptes | documents digitalitzats","Comptes 2013-2014 del Consorci del Gran Teatre del Liceu (juntament amb l’informe de l’auditoria)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Biennal","","Barcelona Activa, S.A.","Barcelona | Barcelona | Barcelona","2005 | 2006","","2006","2006","","","","application/vnd.ms-excel","1 fitxer","application/vnd.ms-excel","","","societats mercantils","Mandat 2003-2007","http://hdl.handle.net/11703/110606","cat","","","","","","","","CC0","info:eu-repo/semantics/openAccess","","https://creativecommons.org/choose/zero/?lang=ca","","Finances municipals | Comptabilitat | Barcelona Activa, S.A. | Municipal finance | Accounting | Barcelona Activa, S.A. | Finanzas municipales | Contabilidad | Barcelona Activa, S.A.","Economia","comptes","Comptes i balanç de situació 2005-2006 de Barcelona Activa, S.A.","","dataset","info:eu-repo/semantics/other",""
"Anual","","Consorci d'Educació de Barcelona","Barcelona | Barcelona | Barcelona","2014","","2015","2015","","","","application/pdf","3 documents","application/pdf","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/107150","cat","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci d'Educació de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Consorci d'Educació de Barcelona | Finances municipals | Comptabilitat | Consorci d'Educació de Barcelona | Municipal finance | Accounting | Consorci d'Educació de Barcelona | Finanzas municipales | Contabilidad","Economia","comptes","Comptes anuals 2014 del Consorci de Serveis Socials de Barcelona","","text","info:eu-repo/semantics/other",""
"Anual","","Consorci de l'Auditori i l'Orquestra","Barcelona | Barcelona | Barcelona","2015","","2016-10-19","2016","","","","application/pdf","2 documents","application/pdf","","","consorcis","Mandat 2015-2019","http://hdl.handle.net/11703/106983","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci de l'Auditori i l'Orquestra","http://creativecommons.org/licenses/by/4.0/deed.ca","","Consorci de l'Auditori i l'Orquestra | Finances municipals | Comptabilitat | Consorci de l'Auditori i l'Orquestra | Municipal finance | Accounting | Consorci de l'Auditori i l'Orquestra | Finanzas municipales | Contabilidad","Economia","comptes | documents digitalitzats","Comptes anuals 2015 del Consorci de l'Auditori i l'Orquestra","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Institut Municipal de Serveis Socials (Barcelona)","Barcelona | Barcelona | Barcelona","2010","","2011","2011","","","","application/pdf","19 p.","application/pdf","","","organismes autònoms","Mandat 2007-2011","http://hdl.handle.net/11703/106886","cat","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Institut Municipal de Serveis Socials (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","","Institut Municipal de Serveis Socials (Barcelona) | Finances municipals | Comptabilitat | Institut Municipal de Serveis Socials (Barcelona) | Municipal finance | Accounting | Institut Municipal de Serveis Socials (Barcelona) | Finanzas municipales | Contabilidad","Economia","comptes","Comptes anuals 2010 de l'Institut Municipal de Serveis Socials de Barcelona","Memòria de l'exercici 2010 de l'Institut Municipal de Serveis Socials de Barcelona","text","info:eu-repo/semantics/other",""
