"Tipus_resum","Codi_resum","Concepte_resum","Crèdit_extraordinari","Suplements_crèdit","Ampliacions","Transferències_crèdit_+","Transferències_crèdit_"," Saldo_mini_transferències","Incorporació_romanents ","Generació_ingressos","Baixes_anul·lació","Ajustos_pròrroga"
"ORGÀNIC",502,"G. Medi Ambient I Serveis Urbans","0,00","0,00","0,00","1.147.833,34","6.331.474,72","662.233,98","0,00","0,00","0,00","0,00"
"ORGÀNIC",503,"G. Urbanisme","0,00","0,00","0,00","75.701,46","509.053,29","-173.527,65","0,00","0,00","0,00","0,00"
"ORGÀNIC",504,"G. Mobilitat i Infraestructures","0,00","0,00","0,00","17.426.281,15","5.821.454,00","-1.261.837,23","207.743,72","1.503.752,77","0,00","0,00"
"ORGÀNIC",601," Ciutat Vella","0,00","0,00","0,00","4.186.494,09","3.084.593,67","136.223,45","1.605.878,73","840.000,00","0,00","0,00"
"ORGÀNIC",602,"Eixample","0,00","0,00","0,00","2.769.666,29","2.472.693,44","16.415,61","130.286,05","147.000,00","0,00","0,00"
"ORGÀNIC",603,"Sants-Montjuïc","0,00","0,00","0,00","1.586.850,25","1.493.534,76","38.363,01","454.072,96","127.811,17","0,00","0,00"
"ORGÀNIC",604,"Les Corts","0,00","0,00","0,00","1.982.183,36","1.198.712,12","-13.190,83","30.693,29","28.005,10","0,00","0,00"
"ORGÀNIC",605,"Sarrià-Sant Gervasi","0,00","0,00","0,00","2.580.575,17","943.330,68","1.274,70","221.858,89","56.537,98","0,00","0,00"
"ORGÀNIC",606,"Gràcia","0,00","0,00","0,00","1.997.648,72","1.495.038,19","-113.687,77","47.500,00","362.490,70","0,00","0,00"
"ORGÀNIC",607,"Horta-Guinardó","0,00","0,00","0,00","2.282.641,67","1.792.380,95","59.067,86","112.562,38","510.426,36","0,00","0,00"
"ORGÀNIC",608,"Nou Barris","0,00","0,00","0,00","3.969.100,81","2.068.943,39","59.729,94","36.579,81","183.104,00","0,00","0,00"
"ORGÀNIC",609,"Sant Andreu","0,00","0,00","0,00","3.374.995,09","2.374.017,79","57.499,13","255.130,79","0,00","0,00","0,00"
"ORGÀNIC",610,"Sant Martí","0,00","0,00","0,00","2.847.862,25","2.189.973,03","52.661,23","37.289,94","0,00","0,00","0,00"
"ORGÀNIC",701,"G. Presidència i Economia","0,00","0,00","0,00","30.918.073,06","25.405.095,78","-2.991.350,68","0,00","0,00","0,00","0,00"
"ORGÀNIC",702,"G. Ocupació, Empresa i Turisme","0,00","0,00","0,00","71.208.727,28","55.853.518,62","3.189.027,20","1.428.144,75","3.439.052,72","0,00","0,00"
"ORGÀNIC",703,"Serveis Centrals","0,00","0,00","0,00","299.147.190,88","343.785.375,48","-175.677,12","1.387.922,11","1.313.525,88","0,00","0,00"
"ORGÀNIC",704,"Gerència Turisme, Comerç i Mercats","0,00","0,00","0,00","11.753.066,49","1.237.221,12","-21.999,40","0,00","6.482.203,12","0,00","0,00"
"ORGÀNIC",801,"G. Drets Ciutadania, Participació i Transparència","0,00","0,00","0,00","142.040.483,14","21.084.465,26","0,00","153.242,12","1.455.335,66","0,00","0,00"
