"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifieruri","dclanguage","dcrelation","dcrelationhasversion","dcrelationisformatof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 42"
"Centre de Cultura Contemporània de Barcelona","Barcelona | Barcelona | Barcelona","2016","","2016-09-23","2016-10-28","","","Aprovat per la Direcció General del Consorci del Centre de Cultura Contemporània de Barcelona el 23-09-2016 | Preus públics corresponents al taller ""Let Your Light Shine""","","","","","application/pdf","1 p.","application/pdf","Butlletí Oficial de la Província de Barcelona (28-10-2016)","","","consorcis","http://hdl.handle.net/11703/98784","cat","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Hisenda | Cultura i oci","preus públics","","Preus públics per a l'any 2016: taller ""Let Your Light Shine""","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2017 | 2018","","2019-01-31","2019-02-01","","","Aprovats per la Comissió de Govern de 31-01-2019","","","","","application/pdf","21 p.","application/pdf","","","","","http://hdl.handle.net/11703/112343","cat","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Escoles bressol | Guarderías | Kindergarten | Escoles de música | Escuelas de música | Music schools | Planetari Municipal de Barcelona | Planetari Municipal de Barcelona | Planetari Municipal de Barcelona | Conservatori Municipal de Música | Conservatori Municipal de Música | Conservatori Municipal de Música | Serveis educatius | Servicios para Estudiantes | Students--Services for","Hisenda","preus públics","","Preus públics pels serveis d'educació per al curs 2017-2018 i següents, per a les escoles bressol municipals, les escoles municipals de música, el Conservatori Municipal de Música i el Planetari Municipal","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2001","No","2000-11-08","2000-12-20","2001-12-31","2001-01-01","Aprovats per la Comissió de Govern de 08-11-2000","","","","","application/pdf","3 p.","application/pdf","12743","","Gaseta Municipal de Barcelona, núm. 34 (20-12-2000), p. 1560-1562","","http://hdl.handle.net/11703/89031","cat","","","","http://hdl.handle.net/11703/89013","http://hdl.handle.net/11703/89023","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Instal·lacions esportives | Sports facilities | Instalaciones deportivas","Hisenda","preus públics","","Preus públics per a l'any 2001 i successius : instal·lacions esportives municipals","","text","info:eu-repo/semantics/other",""
"Districte 7. Horta-Guinardó","Barcelona. Districte 7. Horta-Guinardó | Barcelona. District 7. Horta-Guinardó | Barcelona. Distrito 7. Horta-Guinardó","2008","No","2008-02-13","2008-03-10","","","Aprovats per la Comissió de Govern de 13-02-2008","","","","","application/pdf","2 p.","application/pdf","12630","","Gaseta Municipal de Barcelona, núm. 8 (10-03-2008), p. 823-824","districtes","http://hdl.handle.net/11703/88969","cat","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Instal·lacions esportives | Sports facilities | Instalaciones deportivas","Hisenda","preus públics","","Preus públics per a l'any 2008 i successius : serveis de l'Àrea Esportiva de la Vall d'Hebron","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona. Districte 8. Nou Barris | Barcelona. District 8. Nou Barris | Barcelona. Distrito 8. Nou Barris","2006","No","2005-06-07","2006-07-10","","","Aprovats per la Comissió de Govern de 07-06-2006","","","","","application/pdf","1 p.","application/pdf","12654","","Gaseta Municipal de Barcelona, núm. 20 (10-07-2006), p. 1503","","http://hdl.handle.net/11703/88980","cat","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Instal·lacions esportives | Sports facilities | Instalaciones deportivas","Hisenda","preus públics","","Preus públics per a l'any 2006 i successius : instal·lació municipal esportiva Piscina del Turó de la Peira","","text","info:eu-repo/semantics/other",""
"Institut de Cultura de Barcelona","Barcelona | Barcelona | Barcelona","2013 | 2014","","2013-07-04","2013-07-04","","","Aprovats pel Consell d'Administració de l'Institut de Cultura de Barcelona el 04-07-2016","","","","","application/pdf","3 p.","application/pdf","","","","entitats públiques empresarials","http://hdl.handle.net/11703/99281","cat","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Activitats culturals | Equipaments culturals | Cultural animation | Arts facilities | Animación cultural | Equipamientos culturales","Cultura i oci | Hisenda","preus públics","","Preus públics per a l'any 2013-2014: serveis i activitats del Castell de Montjuïc","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2013","No","2012-12-19","2012-12-31","2013-12-31","2013-01-01","Aprovats per la Comissió de Govern de 19-12-2012. Correcció d'errades aprovades per la Comissió de Govern  el 23-01-2013","","","","1r. Àrea de Qualitat de Vida i Igualtat i Esports:   Preus públics per equipaments residencials per a persones amb discapacitat; Preus públics per residencies, habitatges tutelats i centres de dia per gent gran; Preus públics pels serveis d’atenció domiciliaria; Preus públics pel servei d’àpats en companyia per a la gent gran; Preus públics de la granja escola Can Girona; Preu públic de l'activitat Per feina! De que vols treballar?; Preus públics per serveis dels centres oberts municipals per infants, adolescents i famílies; Preus públic per la cessió de sales del centre d’informació i atenció per a joves; Preu públic per la prestació del servei dels projecte temps de barri, temps per tu | 2n. Àrea de prevenció, seguretat i mobilitat:  Preus públics pels serveis de la unitat muntada i de la secció canina de la Guàrdia urbana; Preus públics pels serveis de la galeria de tir de la Guàrdia Urbana; Preus públics pels cursos de formació realitzats pel Servei de Prevenció i Extinció d'Incendis i Salvament; Preus públics pels cursos de formació realitzats per la Guàrdia Urbana per als cossos policials d'altres entitats locals | 3r. Àrea d'hàbitat urbà:   Preus públics dels serveis de recollida de residus comercials i industrials assimilables a municipals; Preus públics per la prestació de serveis especials de neteja i recollida de residus Municipals; Preus públics per activitats d’educació ambiental i altres prestacions del sector de Medi ambient; Preus públics pels serveis culturals i lloguer d’espais del pavelló Mies van der Rohe | 4rt. Àrea de Recursos:   Preus públics per determinades prestacions de serveis del sistema municipal d’arxius","application/pdf","","application/pdf","10316 | 10396 | 11549 | 11546","","Butlletí Oficial de la Província de Barcelona (31-12-2012) | Correcció errades:  Butlletí Oficial de la Província de Barcelona (31-01-2013) | Publicat també a: Gaseta Municipal de Barcelona, núm. 19 (20-06-2013), p. 2933-2967 | Correcció d'errades: Gaseta Municipal de Barcelona, núm. 19 (20-06-2013), p. 2969","","http://hdl.handle.net/11703/87097","cat","","","","http://hdl.handle.net/11703/87096","","","http://hdl.handle.net/11703/88953","http://hdl.handle.net/11703/87098","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Hisenda","preus públics","","Preus públics per a l'any 2013 i successius : regulació general i preus públics","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2018","Si","2018-06-21","2018-07-03","","2018-07-03","Aprovats per la Comissió de Govern de 21-06-2018","","Modifica els preus públics de l'Àrea de Seguretat i Prevenció del document Preus públics per a l'any 2018 i successius: regulació general i preus públics de diversos serveis [http://hdl.handle.net/11703/106666]","","","application/pdf","6 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (03-07-2018)","","http://hdl.handle.net/11703/109809","cat","","","","","http://hdl.handle.net/11703/106666","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Policia local | Bombers | Formació ocupacional | Equipaments col·lectius | Municipal police | Fire fighters | Occupational training | Infrastructure (Economics) | Policía municipal | Bomberos | Formación ocupacional | Equipamientos colectivos","Hisenda | Seguretat","preus públics","","Preus públics per a l'any 2018 i successius : Àrea de Seguretat i Prevenció","Preus públics. 2018","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona. Districte 7. Horta-Guinardó | Barcelona. District 7. Horta-Guinardó | Barcelona. Distrito 7. Horta-Guinardó","2003","No","2003-01-29","2003-02-28","","","Aprovats per la Comissió de Govern de 29-01-2003","","","","","application/pdf","3 p.","application/pdf","12669","","Gaseta Municipal de Barcelona, núm. 8 (28-02-2003), p. 488-490","","http://hdl.handle.net/11703/88995","cat","","","","","","","http://hdl.handle.net/11703/89374","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Equipaments col·lectius | Infrastructure (Economics) | Equipamientos colectivos","Hisenda","preus públics","","Preus públics per a l'any 2003 i successius : equipaments cívics del Districte d'Horta-Guinardó","","text","info:eu-repo/semantics/other",""
"Institut de Cultura de Barcelona","Barcelona | Barcelona | Barcelona","2016 | 2017","Si","2016-10-11","2016-10-11","","","Aprovats pel Consell d'Administració de l'Institut de Cultura de Barcelona el 11-10-2016","","","","","application/pdf","62 p.","application/pdf","","","","entitats públiques empresarials","http://hdl.handle.net/11703/99320","cat","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments culturals | Activitats culturals | Arts facilities | Cultural animation | Equipamientos culturales | Animación cultural","Cultura i oci | Hisenda","preus públics","","Preus públics per al curs 2016-2017: activitats, lloguers i serveis culturals desenvolupats per l'ICUB","","text","info:eu-repo/semantics/other",""
