"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifieruri","dclanguage","dcrelation","dcrelationhasversion","dcrelationisformatof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 42"
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2006","No","2005-12-23","2005-12-30","2006-12-31","2006-01-01","Modificacions aprovades pel Plenari del Consell Municipal el  23-12-2005","","","","","application/pdf","78 p.","application/pdf","12893","","Butlletí Oficial de la Província de Barcelona, núm. 312, Annex I (30-12-2005), p. 3-80","","http://hdl.handle.net/11703/89273","cat","http://hdl.handle.net/11703/88850","","","","","","","http://hdl.handle.net/11703/97217","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2006 i anys següents","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2019","","2019-02-22","2019-03-04","","2019-03-05","Aprovada pel Plenari del Consell Municipal de 22-02-2019","Modificada i substituïda per l'Ordenança per prestacions patrimonials de caràcter públic no tributari dels serveis de cementiris per al 2020 i successius [http://hdl.handle.net/11703/117275]","Deroga l’ordenança fiscal número 3.9 de Taxes per serveis de cementiris i cremació continguda a les Ordenances fiscals 2016 i anys següents [http://hdl.handle.net/11703/86387]","","","application/pdf","2 documents (3 fitxers)","application/pdf","","","Butlletí Oficial de la Província de Barcelona (04-03-2019) | Gaseta Municipal de Barcelona (02-05-2019)","","http://hdl.handle.net/11703/112642","cat","","","","http://hdl.handle.net/11703/117275","http://hdl.handle.net/11703/86387 | <a href=""http://hdl.handle.net/11703/117929"">  Informe d'impacte de gènere de l'Ordenança per prestacions patrimonials de caràcter públic no tributari dels serveis de cementiris</a>","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Serveis funeraris | Servicios funerarios | Undertakers and undertaking | Cementiris | Cementerios | Cemeteries | Tarifes | Tarifas | Rates","Hisenda","ordenances fiscals","","Ordenança per prestacions patrimonials de caràcter públic no tributari dels serveis de cementiris per al 2019 i successius","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2004","No","2003-12-22","2003-12-30","2004-12-31","2004-01-01","Aprovades pel Plenari del Consell Municipal el  22-12-2003 | Vigent des de 01-01-2004","","","","","application/pdf","","application/pdf","12903","","Butlletí Oficial de la Província de Barcelona, núm. 312, Annex V (30-12-2003)","","http://hdl.handle.net/11703/89275","cat","http://hdl.handle.net/11703/88852","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2004 i anys següents","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2000","No","1999-12-22","1999-12-28","2000-12-31","2000-01-01","Aprovades pel Plenari del Consell Municipal el  22-12-1999 | Vigent des de 01-01-2000","","","","","application/pdf","61 p.","application/pdf","12922","","Butlletí Oficial de la Província de Barcelona, núm. 310 (28-12-1999), p. 27-87","","http://hdl.handle.net/11703/89280","cat","http://hdl.handle.net/11703/88856","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals  2000 i anys següents","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2014","No","2014-10-03","2014-10-16","","2014-10-17","Modificació aprovada pel Plenari del Consell Municipal el 03-10-2014","","","","","application/pdf","6 p.","application/pdf","14348","","Butlletí Oficial de la Província de Barcelona (16-10-2014)","","http://hdl.handle.net/11703/86868","cat","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2014 i anys següents : 3.3 Taxes per serveis urbanístics","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2003","No","2002-12-20","2002-12-28","2003-12-31","2003-01-01","Aprovades pel Plenari del Consell Municipal el  22-12-2002 | Vigent des de 01-01-2003","","","","","application/pdf","66 p.","application/pdf","12906","","Butlletí Oficial de la Província de Barcelona, núm. 311, Annex I (28-12-2002), p. 7-72","","http://hdl.handle.net/11703/89276","cat","http://hdl.handle.net/11703/88853","","","","","","","http://hdl.handle.net/11703/89277","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals  2003 i anys següents","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2001","No","2000-12-22","2000-12-28","2001-12-31","2001-01-01","Aprovades pel Plenari del Consell Municipal el  22-12-2000 | Vigent des de l'1 de gener del 2001","","","","","application/pdf","","application/pdf","12918 | 12919 | 12920","","Butlletí Oficial de la Província de Barcelona, núm. 311, Annex I (28-12-2000), p. 7-79 | Correcció d'errades :  Butlletí Oficial de la Província de Barcelona, núm.  24 (27-01-2001), p. 24 | Correcció d'errades :  Butlletí Oficial de la Província de Barcelona, núm. 65 (16-03-2001) p. 25-26","","http://hdl.handle.net/11703/89279","cat","http://hdl.handle.net/11703/88855","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals  2001 i anys següents","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2014","No","2014-05-09","2014-07-21","","2014-05-09","Modificacions aprovades pel Plenari del Consell Municipal el  09-05-2014","","","","","application/pdf","","application/pdf","13902","","Butlletí Oficial de la Província de Barcelona (21-07-2014)","","http://hdl.handle.net/11703/86867","cat","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2014 i anys següents : 3.10 Taxes per utilització privativa del domini públic municipal i la prestació d'altres serveis: guals","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2014","No","2014-03-28","2014-04-14","","2014-03-28","Modificacions aprovades pel Plenari del Consell Municipal el  28-03-2014","","","","","application/pdf","1 p.","application/pdf","13473","","Butlletí Oficial de la Província de Barcelona (14-04-2014)","","http://hdl.handle.net/11703/86865","cat","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2014 i anys següents : 3.1 Taxes per serveis generals, 3.10 Taxes per utilització privativa del domini públic municipal i la prestació d'altres serveis: terrasses","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2012 | 2013 | 2014 | 2015","No","2013-06-28","2013-07-30","2015-12-31","2013-09-25","Modificació aprovada pel Plenari del Consell Municipal el 28-06-2013 | Segons anunci de l'Institut Municipal de Mercats publicat al BOPB 16-09-2013: l'Ajuntament de Barcelona ha fixat com a data d'inauguració oficial i entrada en funcionament del mercat Fira de Bellcaire Encants Barcelona el 25-09-2013.  Per tot això, la data d'entrada en vigor de les modificacions normatives inicialment esmentades -modificació parcial de l'ordenança municipal de mercats, reglament intern de funcionament de la Fira de Bellcaire i modificació parcial de l'ordenança fiscal núm. 3.6 (mercats)- és el 25-09-2013. | Vigent a partir del 25-09-2013","","","","","application/pdf","","application/pdf","12833","","Butlletí Oficial de la Província de Barcelona (30-07-2013)","","http://hdl.handle.net/11703/86871","cat","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2013 i anys següents : 3.6 Taxes de Mercats","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2016","No","2015-12-29","2015-12-31","","2016-01-01","Modificacions aprovades pel Plenari del Consell Municipal el 29-12-2015 | Aquesta ordenança començarà a regir l'1 de gener de 2016,  amb l'excepció d'aquelles modificacions que precisen d'adaptacions tècniques en els aplicatius de gestió que es produirà l'entrada en vigor amb efectes l'1 d'abril 2016, i continuarà vigent mentre no se n'acordi la modificació o derogació","L'ordenança 3.1 de taxes per serveis generals ha estat modificada pel Plenari del Consell Municipal de 30-09-2016 [http://hdl.handle.net/11703/98466] | Les ordenances fiscals 1.1. Impost sobre Béns Immoble; 1.2 Impost sobre vehicles de tracció mecànica; 3.5 Taxes de clavegueram; 3.12 Taxes per l'estacionament regulat de vehicles a la via pública, han estat modificades pel  Plenari del Consell Municipal de 06-10-2017 [http://hdl.handle.net/11703/106023] | Les ordenances fiscals 3.1. Taxes per serveis generals; 3.10. Taxes per la utilització privativa del domini públic municipal i la prestació d'altres serveis; 3.12. Taxes per l'estacionament regulat de vehicles a la via pública; 3.15. Taxes per la utilització privada del funcionament de les fonts ornamentals, han estat modificades pel Plenari del Consell Municipal de 28-09-2018 [http://hdl.handle.net/11703/111116] | Ordenança fiscal 3.9. Taxes per serveis de cementiris i cremació derogades per l'Ordenança per prestacions patrimonials de caràcter públic no tributari dels serveis de cementiris per al 2019 i successius [ http://hdl.handle.net/11703/112642]","","","","application/pdf","185 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (31-12-2015)","","http://hdl.handle.net/11703/86387","cat","","","","","","","","http://hdl.handle.net/11703/98466 | http://hdl.handle.net/11703/106023 | http://hdl.handle.net/11703/111116 | http://hdl.handle.net/11703/112642","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2016 i anys següents","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2017","Si","2017-10-06","2017-10-19","","2017-10-20","Modificacions aprovades pel Plenari del Consell Municipal de 06-10-2017","","Modifica les Ordenances fiscals 2016 i anys següents [http://hdl.handle.net/11703/86387]","","","application/pdf","24 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (19-10-2017)","","http://hdl.handle.net/11703/106023","cat","","","","","http://hdl.handle.net/11703/86387","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2017 i anys següents : Ordenança 1.1 Impost sobre Béns Immobles, Ordenança 1.2 Impost sobre vehicles de tracció mecànica, Ordenança 3.5 Taxes de clavegueram, Ordenança 3.12 Taxes per l'estacionament regulat de vehicles a la via pública","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2018 | 2019","Si","2019-02-22","2019-03-08","","2019-03-08","Modificacions aprovades pel Plenari del Consell Municipal del 22-02-2019 | Entra en vigor amb la seva publicació al BOPB | Publicat al BOPB de 28-03-2019 d'un error en l'annex 2 de la transcripció de l'ordenança","","","","","application/pdf","2 documents","application/pdf","","","Butlletí Oficial de la Província de Barcelona (08-03-2019) | Butlletí Oficial de la Província de Barcelona (28-03-2019)","","http://hdl.handle.net/11703/112699","cat","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2018 i anys següents : 1.1 Ordenança reguladora de l'impost sobre béns immobles, 3.10. Taxes per utilització privativa del domini públic municipal i la prestació d'altres serveis, 3.13. Taxes per serveis culturals","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2008","No","2007-12-21","2007-12-31","2008-12-31","2008-01-01","Modificacions aprovades pel Consell Plenari el 21-12-2007","","","","","application/pdf","","application/pdf","12813 | 12814","","Butlletí Oficial de la Província de Barcelona, núm. 313, Annex II (31-12-2007) | Correcció d'errades :  Butlletí Oficial de la Província de Barcelona, núm. 10 (11-01-2008)","","http://hdl.handle.net/11703/89272","cat","http://hdl.handle.net/11703/88848","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2008 i anys següents","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2009","No","2008-12-19","2008-12-30","2009-12-31","2009-01-01","Modificacions aprovades pel Consell Plenari el 19-12-2008","","","","","application/pdf","","application/pdf","12803 | 12809","","Butlletí Oficial de la Província de Barcelona, núm. 313, Annex I (30-12-2008) | Correcció d'errades :  Butlletí Oficial de la Província de Barcelona, núm. 19 (22-01-2009)","","http://hdl.handle.net/11703/89271","cat","http://hdl.handle.net/11703/88847","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2009 i anys següents","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2012 | 2013 | 2014 | 2015","No","2011-12-23","2011-12-30","2015-12-31","2012-01-01","Modificacions aprovades pel Plenari del Consell Municipal el 23-12-2011","","","","","application/pdf","","application/pdf","12765 | 12766","","Butlletí Oficial de la Província de Barcelona (30-12-2011) | Correcció d'errades :  Butlletí Oficial de la Província de Barcelona (13-03-2012)","","http://hdl.handle.net/11703/86872","cat","http://hdl.handle.net/11703/88844","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2012 i anys següents","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2015","No","2014-05-09","2015-01-05","2015-12-31","2015-01-06","Modificacions aprovades pel Plenari del Consell Municipal el  09-05-2014","","","","","application/pdf","6 p.","application/pdf","17487","","Butlletí Oficial de la Província de Barcelona (05-01-2015)","","http://hdl.handle.net/11703/86864","cat","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2015 i anys següents : 3.10 Taxes per utilització privativa del domini públic municipal i la prestació d'altres serveis: Guals i quioscos","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2002","No","2001-12-21","2001-12-28","2002-12-31","2002-01-01","Aprovades pel Plenari del Consell Municipal el  21-12-2001 | Vigent des des 01-01-2002","","","","","application/pdf","","application/pdf","12910 | 12911 | 12912 | 12913","","Butlletí Oficial de la Província de Barcelona, núm. 311, Annex I (28-12-2001), p. 3-71 | Correcció d'errades :  Butlletí Oficial de la Província de Barcelona, núm.  13 (15-01-2002), p. 22 | Correcció d'errades :  Butlletí Oficial de la Província de Barcelona, núm. 24 (28-01-2002), p. 18 | Correcció d'errades :  Butlletí Oficial de la Província de Barcelona, núm.46 (22-02-2002), p. 12","","http://hdl.handle.net/11703/89278","cat","http://hdl.handle.net/11703/88854","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals  2002 i anys següents","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2011","No","2010-12-17","2010-12-31","2011-12-31","2011-01-01","Modificacions aprovades pel Plenari del Consell Municipal el 17-12-2010","","","","","application/pdf","","application/pdf","12769 | 12770","","Butlletí Oficial de la Província de Barcelona (31-12-2010) | Correcció d'errades :  Butlletí Oficial de la Província de Barcelona (14-02-2011)","","http://hdl.handle.net/11703/86873","cat","http://hdl.handle.net/11703/88845","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2011 i anys següents","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2015","No","2015-05-05","2015-07-08","2015-12-31","2015-07-09","Modificacions aprovades pel Plenari del Consell Municipal el  05-05-2015","","","","","application/pdf","8 p.","application/pdf","19688","","Butlletí Oficial de la Província de Barcelona (08-07-2015)","","http://hdl.handle.net/11703/86863","cat","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2015 i anys següents : 3.13 Taxes per serveis culturals","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2020","","2020-01-31","2020-02-07","","2020-02-08","Aprovació inicial per la Comissió d'Economia i Hisenda de 20-11-2019 | Aprovació definitiva pel Plenari del Consell Municipal de 31-01-2020","","Modifica i substitueix l'Ordenança per prestacions patrimonials de caràcter públic no tributari dels serveis de cementiris per al 2019 i successius [http://hdl.handle.net/11703/112642]","","","application/pdf","2 documents","application/pdf","","","Butlletí Oficial de la Província de Barcelona (07-02-2020) | Gaseta Municipal de Barcelona (04-03-2020)","","http://hdl.handle.net/11703/117275","cat","","","","","","","http://hdl.handle.net/11703/112642","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Serveis funeraris | Servicios funerarios | Undertakers and undertaking | Cementiris | Cementerios | Cemeteries | Tarifes | Tarifas | Rates","Hisenda","ordenances fiscals","","Ordenança per prestacions patrimonials de caràcter públic no tributari dels serveis de cementiris per al 2020 i successius","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2005","No","2004-12-22","2004-12-30","2005-12-31","2005-01-01","Aprovades pel Plenari del Consell Municipal el  22-12-2004 | Vigents de de 01-01-2005","","","","","application/pdf","74 p.","application/pdf","12899","","Butlletí Oficial de la Província de Barcelona, núm. 313, Annex II (30-12-2004), p. 3-76","","http://hdl.handle.net/11703/89274","cat","http://hdl.handle.net/11703/88851","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2005 i anys següents","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2016","Si","2016-09-30","2016-10-11","","2016-10-12","Modificacions aprovades pel Plenari del Consell Municipal de 30-09-2016 | Modifica l'Ordenança fiscal 3.1 de taxes per serveis generals","","","","","application/pdf","7 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (11-10-2016)","","http://hdl.handle.net/11703/98466","cat","","","","","http://hdl.handle.net/11703/86387","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2016 i anys següents : 3.1 de taxes per serveis generals","","info:eu-repo/semantics/other","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2014","No","2014-05-09","2014-07-21","","2014-05-09","Modificacions aprovades pel Plenari del Consell Municipal el  09-05-2014","","","","","application/pdf","","application/pdf","13901","","Butlletí Oficial de la Província de Barcelona (21-07-2014)","","http://hdl.handle.net/11703/86866","cat","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2014 i anys següents : 3.10 Taxes per utilització privativa del domini públic municipal i la prestació d'altres serveis: quotes anuals dels quioscos de premsa","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2020","Si","2019-12-20","2019-12-30","","2019-12-30","Aprovades pel Plenari del Consell Municipal de 20-12-2019","","","","","application/pdf","2 documents","application/pdf","","","Butlletí Oficial de la Província de Barcelona (30-12-2019) | Correccions d’errades: Butlletí Oficial de la Província de Barcelona (28-01-2020)","","http://hdl.handle.net/11703/116268","cat","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Impuestos locales | Local taxation","Hisenda","ordenances fiscals","","Ordenances fiscals 2020 i anys següents","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2018","Si","2018-09-28","2018-10-08","","2019-01-01","Aprovada pel Plenari del Consell Municipal de 28-09-2018","","","","","application/pdf","8 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (08-10-2018)","","http://hdl.handle.net/11703/111117","cat","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2018 i anys següents :  Ordenança 3.17. Taxes per la utilització privativa o aprofitament especial del domini públic local de les instal·lacions de transport d'energia elèctrica, gas, aigua i hidrocarburs","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2013 | 2014 | 2015","No","2013-03-13","2013-03-25","2015-12-31","2013-03-26","Modificacions aprovades pel Plenari del Consell Municipal del 25-03-2013 | Entra en vigor amb la seva publicació al BOPB, i s’aplica amb efectes des de l’1 de gener de 2013","","","","","application/pdf","","application/pdf","12764","","Butlletí Oficial de la Província de Barcelona (25-03-2013)","","http://hdl.handle.net/11703/86869","cat","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2013 i anys següents : 1.1 Ordenança reguladora de l'impost sobre béns immobles, 1.4 Ordenança reguladora de l'impost sobre activitats econòmiques (IAE)","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2018","Si","2018-09-28","2018-10-08","","2018-10-08","Modificacions aprovades pel Plenari del Consell Municipal de 28-09-2018","Ordenança fiscal 3.12. Taxa per l'estacionament regulat de vehicles a la via pública modificada pel Plenari del Consell Municipal de 31-01-2020 [http://hdl.handle.net/11703/117277]","Modifica les Ordenances fiscals 2016 i anys següents [http://hdl.handle.net/11703/86387]","","","application/pdf","28 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (08-10-2018)","","http://hdl.handle.net/11703/111116","cat","","","","","http://hdl.handle.net/11703/86387","","","http://hdl.handle.net/11703/117277","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2018 i anys següents : Ordenança 3.1. Taxes per serveis generals, Ordenança 3.10. Taxes per la utilització privativa del domini públic municipal i la prestació d'altres serveis, Ordenança 3.12. Taxes per l'estacionament regulat de vehicles a la via pública, Ordenança 3.15. Taxes per la utilització privada del funcionament de les fonts ornamentals","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2007","No","2006-11-24","2006-12-12","2007-12-31","2007-01-01","Modificacions aprovades pel Plenari del Consell Municipal el  24-11-2006","","","","","application/pdf","","application/pdf","12867 | 12868 | 12869","","Butlletí Oficial de la Província de Barcelona, núm. 269, Annex II (12-12-2006), p. 3-79 | Correcció d'errades :  Butlletí Oficial de la Província de Barcelona, núm. 310 (28-12-2006) | Correcció d'errades :  Butlletí Oficial de la Província de Barcelona, núm. 5 (05-01-2007)","","http://hdl.handle.net/11703/86874","cat","http://hdl.handle.net/11703/88849","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2007 i anys següents","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2003","No","2003-03-21","2003-03-29","2003-12-31","2003-01-01","Modificacions aprovades pel Plenari del Consell Municipal el  21-03-2003 | Vigent des de 01-01-2003","","","","","application/pdf","16 p.","application/pdf","12907","","Butlletí Oficial de la Província de Barcelona, núm. 76 (29-03-2003), p. 19-34","","http://hdl.handle.net/11703/89277","cat","","","","","http://hdl.handle.net/11703/89277","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals  2003 i anys següents : 1.1 Ordenança reguladora de l'impost sobre béns immobles, 1.3 Impost sobre l'increment de valor dels terrenys de naturalesa urbana, 1.4 Ordenança reguladora de l'impost sobre activitats econòmiques, IAE, 2.1 Ordenança reguladora de l'impost sobre construccions, instal.lacions i obres","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2015","No","2015-02-27","2015-03-13","2015-12-31","2015-03-14","Modificacions aprovades pel Plenari del Consell Municipal el 27-02-2015","","","","","application/pdf","","application/pdf","18265","","Butlletí Oficial de la Província de Barcelona (13-03-2015)","","http://hdl.handle.net/11703/86862","cat","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Aparcaments | Parking garages | Aparcamiento | Carrers | Streets | Calles | Vehicles | Vehicles | Vehículos","Hisenda","ordenances fiscals","","Ordenances fiscals 2015 i anys següents : 3.12 Taxa per l'estacionament regulat de vehicles a la via pública","","text","info:eu-repo/semantics/other",""
