"dccontributorauthor","dccoveragespatial","dcdatecreated","dcdateissued","dcdescription","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierab","dcidentifieruri","dclanguage","dcrelationisrequiredby","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctype","Unnamed: 22"
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-02-02","2016-02-02","","","application/pdf","1 p.","Núm. Exp. 1564/15","http://hdl.handle.net/11703/97922","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Bugaderia","Comerç","laudes","Laude  1564/2015 sobre el procés de neteja d'una peça de roba","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-02-23","2016-02-23","","","application/pdf","1 p.","Núm. Exp. 1265/15","http://hdl.handle.net/11703/97967","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil","Comerç","laudes","Laude 1265/2015 sobre una targeta de prepagament","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-10-26","2017-10-26","","","application/pdf","1 p.","Núm. Exp. 0111/17","http://hdl.handle.net/11703/108047","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Factures","Comerç","laudes","Laude 0111/17 sobre una factura controvertida","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-04-19","2016-04-19","","","application/pdf","1 p.","Núm. Exp. 1918/15","http://hdl.handle.net/11703/98678","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil","Comerç","laudes","Laude 1918/2015 sobre la modificació d'una tarifa  contractada","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-07-05","2016-07-05","","","application/pdf","1 p.","Núm. Exp. 0051/16","http://hdl.handle.net/11703/99248","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Bugaderia","Comerç","laudes","Laude 0051/2016 sobre el procés de neteja d'un abric","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-07-18","2017-07-18","","","application/pdf","1 p.","Núm. Exp. 1767/16","http://hdl.handle.net/11703/106752","cas","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Beques. Ensenyament. Escoles","Comerç","laudes","Laudo 1767/2016 sobre un contrato de enseñanza","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-02-14","2017-02-14","","","application/pdf","1 p.","Núm. Exp. 0991/16","http://hdl.handle.net/11703/102399","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil","Comerç","laudes","Laude 0991/2016 sobre l'import d'una quota contractada","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-01-12","2016-01-12","","","application/pdf","1 p.","Núm. Exp. 1577/15","http://hdl.handle.net/11703/97459","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil","Comerç","laudes","Laude 1577/2015 sobre la no disposició de la factura de compravenda","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-04-04","2017-04-04","","","application/pdf","1 p.","Núm. Exp. 0923/16","http://hdl.handle.net/11703/105435","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Bugaderia","Comerç","laudes","Laude 0923/2016 sobre el procés de neteja d'un Kilim","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-09-07","2017-09-07","","","application/pdf","1 p.","Núm. Exp. 1699/16","http://hdl.handle.net/11703/107936","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Factures","Comerç","laudes","Laude 1699/2016 sobre unes factures controvertides","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-03-14","2016-03-14","","","application/pdf","","Núm. Exp.1489/14","http://hdl.handle.net/11703/98285","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil. Telefonia per internet. Contractes de serveis","Comerç","laudes","Laude 1489/2014 sobre uns serveis Premium i missatges de tarificació addicional","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-04-26","2016-04-26","","","application/pdf","1 p.","Núm. Exp. 1909/15","http://hdl.handle.net/11703/98725","cas","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laudo 1909/2015 sobre un contrato de enseñanza","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-11-03","2016-11-03","","","application/pdf","1 p.","Núm. Exp. 0311/16","http://hdl.handle.net/11703/99654","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laude 0311/2016 sobre l'import d'una factura","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-04-14","2016-04-14","","Correcció d'errades [2016-05-30]","application/pdf","","Núm. Exp. 1950/15","http://hdl.handle.net/11703/98666","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil","Comerç","laudes","Laude 1950/2015 sobre unes factures controvertides","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-05-10","2016-05-10","","","application/pdf","1 p.","Núm. Exp. 0373/14","http://hdl.handle.net/11703/98852","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia per internet","Comerç","laudes","Laude 0373/2014 sobre un mòdem controvertit","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-04-04","2017-04-04","","","application/pdf","1 p.","Núm. Exp. 0984/16","http://hdl.handle.net/11703/105319","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Bugaderia","Comerç","laudes","Laude 0984/2016 sobre el procés de neteja d'uns pantalons","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-04-05","2016-04-05","","","application/pdf","1 p.","Núm. Exp. 1844/15","http://hdl.handle.net/11703/98341","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laude 1844/2015 sobre el consum d'un subministrament","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-05-04","2017-05-04","","","application/pdf","1 p.","Núm. Exp. 1189/16","http://hdl.handle.net/11703/106014","cas","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Ferrocarrils. Contractes de serveis","Comerç","laudes","Laudo 1189/2016 sobre un viaje en tren","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-03-08","2016-03-08","","","application/pdf","1 p.","Núm. Exp. 1665/15","http://hdl.handle.net/11703/98256","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil","Comerç","laudes","Laude 1665/2015 sobre la reparació d'un terminal","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-11-14","2017-11-14","","","application/pdf","1 p.","Núm. Exp. 1770/16","http://hdl.handle.net/11703/108115","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Mobles. Productes defectuosos","Comerç","laudes","Laude 1770/2016 sobre la tapisseria d'un sofà","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-01-12","2016-01-12","","","application/pdf","1 p","Núm. Exp. 1285/15","http://hdl.handle.net/11703/97451","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Productes defectuosos","Comerç","laudes","Laude 1285/2015 sobre una motxilla malmesa i un val de compensació","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-04-25","2017-04-25","","","application/pdf","1 p.","Núm. Exp. 1354/16","http://hdl.handle.net/11703/105901","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil. Factures","Comerç","laudes","Laude 1354/2016 sobre unes tarifes contractades","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-11-28","2017-11-28","","","application/pdf","1 p.","Núm. Exp. 1407/16","http://hdl.handle.net/11703/108255","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Bugaderia","Comerç","laudes","Laude 1407/2016 sobre un procés de neteja controvertit","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-05-25","2017-05-25","","","application/pdf","1 p.","Núm. Exp. 1991/15","http://hdl.handle.net/11703/106089","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Bicing. Contractes de serveis","Comerç","laudes","Laude 1991/2015 sobre el servei de Bicing","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-12-13","2016-12-13","","","application/pdf","1 p.","Núm. Exp. 0855/16","http://hdl.handle.net/11703/99801","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telèfon. Telefonia mòbil","Comerç","laudes","Laude 0855/2016 sobre una portabilitat controvertida","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-04-05","2016-04-05","","","application/pdf","1 p.","Núm. Exp. 1902/15","http://hdl.handle.net/11703/98632","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laude 1902/2015 sobre el consum d'un subministrament","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-09-07","2017-09-07","","","application/pdf","1 p.","Núm. Exp. 1511/16","http://hdl.handle.net/11703/107945","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia per internet. Contractes de serveis. Factures","Comerç","laudes","Laude 1511/2016 sobre un incompliment contractual i un termini de permanència associat","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-04-26","2016-04-26","","","application/pdf","1 p.","Núm. Exp. 0243/16","http://hdl.handle.net/11703/98720","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laude 0243/2016 sobre incidències en un enviament","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-03-08","2016-03-08","","","application/pdf","1 p.","Núm. Exp. 1766/15","http://hdl.handle.net/11703/98258","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laude 1766/2015 sobre l'excés de consum d'un subministrament","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-11-07","2017-11-07","","","application/pdf","1 p.","Núm. Exp. 1634/16","http://hdl.handle.net/11703/108028","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil. Contractes de serveis","Comerç","laudes","Laude 1634/2016 sobre unes condicions contractuals","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-06-27","2017-06-27","","","application/pdf","1 p.","Núm. Exp. 1462/16","http://hdl.handle.net/11703/106460","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laude 1462/2016 sobre la modificació d'un Pla de Preus contractats","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-11-07","2017-11-07","","","application/pdf","1 p.","Núm. Exp. 1996/16","http://hdl.handle.net/11703/108026","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Correu electrònic. Telefonia per internet","Comerç","laudes","Laude 1996/2016 sobre un compte de correu bloquejat","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-01-12","2016-01-12","","","application/pdf","1p.","Núm. Exp. 1343/15","http://hdl.handle.net/11703/97455","cas","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laude 1343/2015 sobre la facilitación de información de horarios, limitaciones y accesos a un parque","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-07-05","2016-07-05","","","application/pdf","1 p.","Núm. Exp. 0246/16","http://hdl.handle.net/11703/99250","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Bugaderia","Comerç","laudes","Laude 0246/2016 sobre el procés de neteja d'una catifa","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-01-12","2016-01-12","","","application/pdf","1p.","Núm. Exp. 1096/15","http://hdl.handle.net/11703/97452","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Automòbils","Comerç","laudes","Laude 1096/2015 sobre l'avaria del far d'un cotxe i les condicions de la garantia","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-07-05","2016-07-05","","","application/pdf","2 p.","Núm. Exp. 0477/16","http://hdl.handle.net/11703/99235","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Mobles. Productes defectuosos","Comerç","laudes","Laude 0477/16 sobre el mòdul defectuós d'un sofà","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-03-28","2017-03-28","","","application/pdf","1 p.","Núm. Exp. 0750/16","http://hdl.handle.net/11703/105090","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil. Contractes de serveis","Comerç","laudes","Laude 0750/2016 sobre el lliurament d'un terminal","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-07-21","2017-07-21","Audiència celebrada el 15 de juny de 2017","","application/pdf","1 p.","Núm. Exp. 1671/16","http://hdl.handle.net/11703/106767","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Bugaderia","Comerç","laudes","Laude 1671/2016 sobre el procés de neteja d'un vestit de núvia","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-06-16","2016-06-16","","","application/pdf","1 p.","Núm. Exp. 0558/16","http://hdl.handle.net/11703/99229","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Productes defectuosos","Comerç","laudes","Laude 0558/2016 sobre l'ús inadequat d'una polsera","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-06-06","2017-06-06","","","application/pdf","1 p.","Núm. Exp. 0996/16","http://hdl.handle.net/11703/106280","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude","Comerç","laudes","Laude 0996/2016 sobre acordar la inhibició en no tenir la part reclamant la condició de persona consumidora o usuària","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-10-04","2016-10-04","","","application/pdf","1 p.","Núm. Exp. 0252/16","http://hdl.handle.net/11703/99627","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Automòbils","Comerç","laudes","Laude 0252/2016 sobre una senyalització en un pàrquing","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-12-13","2016-12-13","","","application/pdf","1 p.","Núm. Exp. 0657/16","http://hdl.handle.net/11703/99988","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laude 0657/2016 sobre unes subscripcions controvertides","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-03-21","2017-03-21","Aclarit i corregit pel laude de 16-05-2017 [http://hdl.handle.net/11703/105895]","","application/pdf","1 p.","Núm. Exp. 0893/16","http://hdl.handle.net/11703/105894","cas","","http://hdl.handle.net/11703/105895","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Automòbils. Factures","Comerç","laudes","Laudo 0893/2016 sobre el alquiler de un vehículo","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-07-19","2016-07-19","","","application/pdf","1 p.","Núm. Exp. 0563/16","http://hdl.handle.net/11703/99366","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Productes defectuosos","Comerç","laudes","Laude 0563/2016 sobre la reparació d'un ordinador","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-03-14","2016-03-14","","","application/pdf","1 p.","Núm. Exp. 1966/14","http://hdl.handle.net/11703/98287","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laude 1966/2014 sobre l'import carregat per un servei","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-02-09","2016-02-09","","","application/pdf","1 p.","Núm. Exp. 1749/15","http://hdl.handle.net/11703/97957","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil","Comerç","laudes","Laude 1749/2015 sobre un canvi de tarifa i el compromís de permanència associat","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-09-07","2017-09-07","","","application/pdf","1 p.","Núm. Exp. 1547/16","http://hdl.handle.net/11703/107679","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil. Factures","Comerç","laudes","Laude 1547/2016 sobre una factura en una trucada internacional","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-06-07","2016-06-07","","","application/pdf","1 p.","Núm. Exp. 0215/16","http://hdl.handle.net/11703/99087","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil","Comerç","laudes","Laude 0215/2016 sobre l'adquisició d'un terminal i unes condicions contractades","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-07-19","2016-07-19","","","application/pdf","1 p.","Núm. Exp. 1828/15","http://hdl.handle.net/11703/99373","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia per internet","Comerç","laudes","Laude 1828/2015 sobre l'avaria d'una línia","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-09-19","2017-09-19","","","application/pdf","1 p.","Núm. Exp. 1749/16","http://hdl.handle.net/11703/107943","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laude 1749/2016 sobre la prestació d'uns serveis","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-06-06","2017-06-06","","","application/pdf","1 p.","Núm. Exp. 0808/16","http://hdl.handle.net/11703/106277","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telèfon. Contractes de serveis","Comerç","laudes","Laude 0808/2016 sobre la interrupció d'un servei contractat","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-06-16","2016-06-16","","","application/pdf","1 p.","Núm. Exp. 0017/16","http://hdl.handle.net/11703/99117","cas","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Productes defectuosos","Comerç","laudes","Laudo 0017/2016 sobre el mal funcionamiento de una licuadora controvertida","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-05-10","2016-05-10","","","application/pdf","2 p.","Núm. Exp. 0010/16","http://hdl.handle.net/11703/98787","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Productes defectuosos","Comerç","laudes","Laude 0010/2016 sobre recollir l'avinença d'un armari controvertit","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-09-20","2016-09-20","","","application/pdf","1 p.","Núm. Exp. 0649/16","http://hdl.handle.net/11703/99598","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis. Telefonia mòbil","Comerç","laudes","Laude 0649/2016 sobre un contracte de serveis","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-02-28","2017-02-28","","","application/pdf","1 p.","Núm. Exp. 0828/16","http://hdl.handle.net/11703/104920","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil","Comerç","laudes","Laude 0828/2016 sobre un compromís de permanència","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-05-24","2016-05-24","","","application/pdf","1 p.","Núm. Exp. 0322/16","http://hdl.handle.net/11703/98932","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Productes defectuosos","Comerç","laudes","Laude 0322/2016 sobre els danys de la porta d'una nevera i el recull de l'oferiment de la part reclamada","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-07-06","2017-07-06","","","application/pdf","1 p.","Núm. Exp. 0811/16","http://hdl.handle.net/11703/106671","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil. Contractes de serveis","Comerç","laudes","Laude 0811/2016 sobre un servei contractat","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-05-04","2017-05-04","","","application/pdf","1 p.","Núm. Exp. 1380/16","http://hdl.handle.net/11703/106016","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laude 1380/2016 sobre la pèrdua d'un enviament","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-12-12","2017-12-12","","","application/pdf","1 p.","Núm. Exp. 0077/17","http://hdl.handle.net/11703/108306","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis. Reparacions","Comerç","laudes","Laude 0077/2017 sobre una Conciliació","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-09-08","2016-09-08","","","application/pdf","1 p.","Núm. Exp. 0829/16","http://hdl.handle.net/11703/99525","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Productes defectuosos","Comerç","laudes","Laude 0829/2016 sobre unes sabatilles controvertides","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-01-12","2017-01-12","","","application/pdf","1 p.","Núm. Exp. 0733/16","http://hdl.handle.net/11703/100477","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude","Comerç","laudes","Laude 0733/2016 sobre una inhibició per matèria exclosa d'arbitratge","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-07-05","2016-07-05","","","application/pdf","1 p.","Núm. Exp. 0940/15","http://hdl.handle.net/11703/99238","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Bugaderia","Comerç","laudes","Laude 0940/2015 sobre el procés de neteja i planxat d'una gavardina","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-06-07","2016-06-07","","Correcció d'errades [2016-09-19]","application/pdf","","Núm. Exp. 0222/16","http://hdl.handle.net/11703/99108","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil","Comerç","laudes","Laude 0222/2016 sobre l'adquisició d'un terminal a terminis","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-05-04","2017-05-04","","","application/pdf","1 p.","Núm. Exp. 0016/17","http://hdl.handle.net/11703/105818","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laude 0016/2017 sobre l'entrega d'un paquet","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-05-16","2017-05-16","","","application/pdf","1 p.","Núm. Exp. 1138/16","http://hdl.handle.net/11703/106068","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Garantia de qualitat. Productes defectuosos","Comerç","laudes","Laude 1138/2016 sobre un escalfador elèctric","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-02-14","2017-02-14","","","application/pdf","1 p.","Núm. Exp. 0949/16","http://hdl.handle.net/11703/101788","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil","Comerç","laudes","Laude 0949/2016 sobre la tramitació d'una portabilitat","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-05-10","2016-05-10","","Correcció d'errades [2016-06-09]","application/pdf","","Núm. Exp. 0002/16","http://hdl.handle.net/11703/98786","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil","Comerç","laudes","Laude 0002/2016 sobre l'import d'un terminal controvertit","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-06-16","2016-06-16","","","application/pdf","1 p.","Núm. Exp. 0429/16","http://hdl.handle.net/11703/99113","cas","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Automòbils. Contractes de serveis","Comerç","laudes","Laudo 0429/2016 sobre el contrato de alquiler de un vehículo","text",""
