"dccontributorauthor","dccoveragespatial","dcdatecreated","dcdateissued","dcdescription","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierab","dcidentifieruri","dclanguage","dcrelationisrequiredby","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctype","Unnamed: 22"
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-06-27","2017-06-27","","","application/pdf","1 p.","Núm. Exp. 1500/16","http://hdl.handle.net/11703/106461","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil. Factures","Comerç","laudes","Laude 1500/2016 sobre una factura duplicada","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-02-09","2016-02-09","","","application/pdf","1 p.","Núm. Exp. 1466/15","http://hdl.handle.net/11703/97944","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia per internet","Comerç","laudes","Laude 1466/2015 sobre el tall de la línia ADSL","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-04-19","2016-04-19","","","application/pdf","1 p.","Núm. Exp. 1934/15","http://hdl.handle.net/11703/98669","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil","Comerç","laudes","Laude 1934/2015 sobre unes factures rectificatives","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-01-19","2016-01-19","","","application/pdf","1 p.","Núm. Exp. 0912/15","http://hdl.handle.net/11703/97774","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laude 0912/2015 sobre l'idioma en que es reben els contractes d'adhesió","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-01-12","2017-01-12","","","application/pdf","1 p.","Núm. Exp. 0770/16","http://hdl.handle.net/11703/100478","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laude 0770/2016 sobre recollir una declaració i compromís de les parts","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-06-15","2017-06-15","","","application/pdf","1 p.","Núm. Exp. 1658/16","http://hdl.handle.net/11703/106309","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Bugaderia","Comerç","laudes","Laude 1658/2016 sobre el procés de neteja d'un mono de moto","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-01-19","2016-01-19","","","application/pdf","1 p.","Núm. Exp. 1410/15","http://hdl.handle.net/11703/97801","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil","Comerç","laudes","Laude 1410/2015 sobre una targeta prepagament anul·lada i la recuperació de la numeració de la línia mòbil","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-09-19","2017-09-19","","","application/pdf","1 p.","Núm. Exp. 1575/16","http://hdl.handle.net/11703/107941","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Productes defectuosos. Telefonia mòbil","Comerç","laudes","Laude 1575/16 sobre la reparació d'un terminal","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-03-01","2016-03-01","","Correcció d'errades [2016-05-23]","application/pdf","","Núm. Exp 1692/12","http://hdl.handle.net/11703/98136","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil","Comerç","laudes","Laude 1692/2012 sobre un pla de preus contractat","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-06-17","2016-06-17","Audiència celebrada el 31 de maig de 2016","","application/pdf","1 p.","Núm. Exp. 0158/16","http://hdl.handle.net/11703/98950","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil","Comerç","laudes","Laude 0158/2016 sobre unes trucades controvertides","text",""
