"Tipus indicador","Indicador","Fórmula","Unitat","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Observacions"
"INDICADORS D'OPERACIONS DE CAPITAL","Aparcaments","Obligacions reconegudes (capítol 6-només espai públic)/ nº d' habitants","Euros per habitant","","","","","","","","","7,59","0,76","0,33","0,16","1,17","Abans de 2013 no es classificaven les inversions en aquestes tipologies."
"INDICADORS D'OPERACIONS DE CAPITAL","Diversos Total","Obligacions reconegudes (capítol 6-només espai públic)/ nº d' habitants","Euros per habitant","","","","","","","","","0,12","0,00","0,02","0,00","0,99","Abans de 2013 no es classificaven les inversions en aquestes tipologies."
"INDICADORS D'OPERACIONS DE CAPITAL","Energia","Obligacions reconegudes (capítol 6-només espai públic)/ nº d' habitants","Euros per habitant","","","","","","","","","0,00","0,50","0,94","0,78","1,53","Abans de 2013 no es classificaven les inversions en aquestes tipologies."
"INDICADORS D'OPERACIONS DE CAPITAL","Infraestructures Total","Obligacions reconegudes (capítol 6-només espai públic)/ nº d' habitants","Euros per habitant","","","","","","","","","0,05","0,03","1,35","0,81","1,32","Abans de 2013 no es classificaven les inversions en aquestes tipologies."
"INDICADORS D'OPERACIONS DE CAPITAL","Parcs","Obligacions reconegudes (capítol 6-només espai públic)/ nº d' habitants","Euros per habitant","","","","","","","","","3,74","0,78","2,32","3,03","3,12","Abans de 2013 no es classificaven les inversions en aquestes tipologies."
"INDICADORS D'OPERACIONS DE CAPITAL","Residus Total","Obligacions reconegudes (capítol 6-només espai públic)/ nº d' habitants","Euros per habitant","","","","","","","","","0,00","0,65","0,62","0,00","0,28","Abans de 2013 no es classificaven les inversions en aquestes tipologies."
"INDICADORS D'OPERACIONS DE CAPITAL","Verd urbà i zones forestals","Obligacions reconegudes (capítol 6-només espai públic)/ nº d' habitants","Euros per habitant","","","","","","","","","6,74","1,83","3,20","0,68","0,51","Abans de 2013 no es classificaven les inversions en aquestes tipologies."
"INDICADORS D'OPERACIONS DE CAPITAL","Vials Total","Obligacions reconegudes (capítol 6-només espai públic)/ nº d' habitants","Euros per habitant","","","","","","","","","40,09","106,86","90,24","66,07","60,61","Abans de 2013 no es classificaven les inversions en aquestes tipologies."
"EXECUCIÓ I MAGNITUD GLOBAL D'INGRESSOS I DESPESES","Execució del pressupost d'ingressos","Drets reconeguts nets / Previsions definitives totals","%","103,8%","102,6%","101,3%","93,7%","95,5%","100,1%","91,1%","99,5%","106,4%","98,5%","98,5%","96,5%","97,9%",""
"EXECUCIÓ I MAGNITUD GLOBAL D'INGRESSOS I DESPESES","Execució dels ingressos corrents","Drets reconeguts nets(capítols 1 a 5) / Previsions definitives (capítols 1 a 5)","%","106,6%","107,4%","111,1%","103,5%","101,5%","105,3%","104,2%","104,1%","109,4%","112,3%","109,4%","106,9%","101,7%",""
"EXECUCIÓ I MAGNITUD GLOBAL D'INGRESSOS I DESPESES","Execució dels ingressos de capital","Drets reconeguts (capítols 6 i 7) / Previsions definitives (capítols 6 i 7)","%","86,4%","86,4%","65,7%","63,8%","87,8%","82,6%","98,4%","92,4%","160,7%","140,8%","80,1%","212,0%","65,2%",""
"EXECUCIÓ I MAGNITUD GLOBAL D'INGRESSOS I DESPESES","Execució del pressupost de despeses","Obligacions reconegudes totals / Crèdits definitius totals","%","95,9%","94,7%","94,9%","94,7%","95,4%","88,0%","93,5%","92,3%","97,6%","98,0%","98,3%","97,6%","96,6%",""
"EXECUCIÓ I MAGNITUD GLOBAL D'INGRESSOS I DESPESES","Execució de les despeses corrents","Obligacions reconegudes (capítols 1 a 4) / Crèdits definitius (capítols 1 a 4)","%","96,2%","96,8%","97,3%","96,6%","97,7%","97,5%","96,9%","95,8%","98,0%","98,2%","98,7%","97,9%","97,0%",""
"EXECUCIÓ I MAGNITUD GLOBAL D'INGRESSOS I DESPESES","Execució de les despeses de capital","Obligacions reconegudes (capítols 6 i 7) / Crèdits definitius (capítols 6 i 7) [Cal tenir en compte que al 2012 s'han retingut 40 milions d'euros en el capítol 6 per tal de complir amb el Programa Econòmic-Financer. El crèdit definitiu del capítol 6 incorpora aquesta baixa pel càlcul d'aquest indicador.]","%","94,1%","88,9%","88,5%","88,8%","90,8%","70,3%","82,9%","85,2%","94,4%","97,2%","96,5%","97,7%","96,4%","Cal tenir en compte que al 2012 s'han retingut 40 milions d'euros en el capítol 6 per tal de complir amb el Programa Econòmic-Financer. El crèdit definitiu del capítol 6 incorpora aquesta baixa pel càlcul d'aquest indicador."
"EXECUCIÓ I MAGNITUD GLOBAL D'INGRESSOS I DESPESES","Despeses no financeres per habitant","Obligacions reconegudes (capítols 1 a 7) / nº d'habitants","Euros per habitant","1.100,6","1.196,3","1.308,9","1.384,6","1.606,3","1.548,1","1.436,9","1.378,7","1.347,9","1.559,4","1.543,8","1.571,8","1.610,9",""
"EXECUCIÓ I MAGNITUD GLOBAL D'INGRESSOS I DESPESES","Despesa total per habitant","Obligacions reconegudes (capítols 1 a 9) / nº d'habitants","Euros per habitant","1.200,1","1.251,4","1.398,8","1.489,2","1.680,1","1.615,7","1.519,1","1.441,7","1.417,8","1.651,9","1.739,0","1.679,8","1.707,0",""
"AUTONOMIA FISCAL I FINANCERA","Autonomia fiscal","Drets reconeguts nets(capítols 1 a 3) /Drets reconeguts (capítols 1 a 9)","%","52,2%","52,5%","50,9%","50,2%","43,2%","41,7%","52,1%","50,1%","52,0%","50,4%","50,1%","52,8%","53,2%",""
"AUTONOMIA FISCAL I FINANCERA","Grau de dependència financera","Drets reconeguts nets(capítols 4 i 7) / Drets reconeguts (capítols 1 a 7)","%","42,3%","42,4%","45,2%","46,7%","53,0%","46,3%","44,2%","44,0%","45,0%","41,1%","44,6%","42,2%","42,4%",""
"POSICIÓ PRESSUPOSTÀRIA (SUPERÀVIT/DÈFICIT)","Superàvit/dèficit per habitant (en termes de resultat pressupostari ajustat)","Resultat pressupostari ajustat / nº d'habitants","Euros per habitant","113,3","113,4","126,1","4,9","66,3","180,7","118,6","173,5","128,4","71,8","155,8","94,4","17,9",""
"POSICIÓ PRESSUPOSTÀRIA (SUPERÀVIT/DÈFICIT)","Saldo d'operacions no financeres per habitant","Drets reconeguts (capítols 1 a 7) - Obligacions reconegudes (capítols 1 a 7) / nº d'habitants","Euros per habitant","135,4","152,7","182,6","86,3","17,3","-51,8","42,2","72,6","177,7","100,4","95,2","30,9","32,8",""
"POSICIÓ PRESSUPOSTÀRIA (SUPERÀVIT/DÈFICIT)","Superàvit / Dèficit (CNF) en termes SEC","Superàvit o dèficit en termes SEC","Milions d'euros","125,0","152,0","209,2","72,2","-83,3","-300,2","-398,3","60,1","139,3","22,2","100,2","97,5","1,3",""
"POSICIÓ PRESSUPOSTÀRIA (SUPERÀVIT/DÈFICIT)","Superàvit / Dèficit (CNF) per habitant en termes SEC","Superàvit o dèficit (en termes SEC) / nº d'habitants","Euros per habitant","78,5","94,7","131,1","44,7","-51,4","-185,4","-246,6","37,1","86,4","13,8","62,5","60,6","0,8",""
"POSICIÓ PRESSUPOSTÀRIA (SUPERÀVIT/DÈFICIT)","Superàvit / Dèficit (CNF) en relació als ingressos no financers en termes SEC","Superàvit o dèficit (en termes SEC) / ingressos no financers (en termes SEC)","%","6,7%","7,3%","9,1%","3,1%","-3,3%","-13,5%","-19,9%","2,7%","5,8%","0,9%","3,9%","3,8%","0,1%",""
"PAGAMENTS I COBRAMENTS (EXERCICI corrent)","Període mitjà de pagament","Obligacions pendents de pagament (capítols 1 a 9) x 365 / Obligacions reconegudes (capítols 1 a 9)","Dies","69,4","64,6","60,2","71,4","69,7","59,9","47,8","59,0","61,9","73,3","60,5","80,0","77,7",""
"PAGAMENTS I COBRAMENTS (EXERCICI corrent)","Període promig de pagament ","(Σ dies entre pagament i factura *import /total import)","Dies","--","--","--","--","--","54,3","38,7","32,3","29,2","27,4","30","29,8","28,5",""
"PAGAMENTS I COBRAMENTS (EXERCICI corrent)","Període mitjà de cobrament","Drets pendents de cobrament nets(capítols 1 a 3) x 365 / Drets reconeguts (capítols 1 a 3)","Dies","54,6","54,1","47,3","49,9","48,4","48,6","45,9","49,1","42,2","39,4","34,2","33,1","26,9",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
